Abitudini di lettura per motivi non strettamente scolastici o professionali nel 2021 per regione (valori percentuali);;;;;;
;Persone di 6 anni e più che hanno letto almeno un libro nell'ultimo anno;Persone di 6 anni e più che hanno letto da uno a tre libri nell'ultimo anno;Persone di 6 anni e più che hanno letto dodici libri e più nell'ultimo anno;Persone di 6 anni e più che hanno letto solo libri cartacei nell'ultimo anno;Persone di 6 anni e più che hanno letto solo libri in formato digitale nell'ultimo anno;Persone di 6 anni e più che hanno letto libri in formato sia cartaceo che digitale nell'ultimo anno
Piemonte;46,3;18,8;8,5;32,1;5,7;8,3
Valle d'Aosta;47,6;15,8;10,2;34,3;4,4;8,9
Liguria;46,7;17,3;8,3;33,2;4,4;8,8
Lombardia;48,9;20,0;8,8;33,3;5,8;9,7
Trentino-Alto Adige;50,3;17,3;11,3;34,0;5,7;10,5
 Bolzano;48,4;15,4;10,6;31,8;6,2;10,2
 Trento;52,2;19,1;12,0;36,1;5,2;10,8
Veneto;45,2;19,5;7,3;32,0;5,1;8,1
Friuli-Venezia Giulia;47,0;18,5;8,2;33,5;4,7;8,4
Emilia-Romagna;46,4;19,9;7,1;33,4;4,1;8,5
Toscana;45,7;18,8;6,6;32,0;5,3;8,2
Umbria;44,0;20,2;6,3;33,4;3,4;7,0
Marche;39,1;19,2;4,1;28,4;3,2;7,3
Lazio;45,1;18,6;7,2;30,8;5,8;8,1
Abruzzo;37,1;19,3;4,4;25,7;5,4;6,1
Molise;31,9;16,9;2,0;21,2;5,4;5,3
Campania;28,1;15,0;3,0;19,1;4,0;4,8
Puglia;28,9;15,5;2,8;19,0;4,3;5,4
Basilicata;32,5;18,5;2,6;21,4;5,2;5,9
Calabria;28,3;15,3;2,9;20,8;3,9;3,6
Sicilia;27,4;14,5;2,6;18,3;4,5;4,4
Sardegna;42,6;17,1;8,1;28,5;5,2;8,7
Italia;40,8;18,0;6,2;28,2;4,9;7,4
