Tavola 1 - ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2015,,,,2016,,,,Composizione percentuale 2016,,,Variazione percentuale annua (b),
,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale"
,,,,,,,,,,,,,
TIPI DI EDIZIONE (c),,,,,,,,,,,,,
Prime edizioni,"34,203","97,619","2,854",,"37,992","77,108","2,030",,62.1,59.9,,0.5,-5.9
Edizioni successive,"3,538","10,506","2,969",,"3,520","9,488","2,695",,5.8,7.4,,5.2,-0.3
Ristampe,"17,813","48,799","2,740",,"19,676","42,229","2,146",,32.2,32.8,,9.6,-10.8
Totale,"55,554","156,925","2,825",,"61,188","128,825","2,105",,100.0,100.0,,3.7,-7.1
,,,,,,,,,,,,,
GENERI  DI  OPERA,,,,,,,,,,,,,
Opere scolastiche (d),"4,337","32,070","7,395",,"4,659","25,195","5,408",,7.6,19.6,,14.6,-19.6
Opere per ragazzi,"4,721","18,599","3,940",,"4,669","17,232","3,691",,7.6,13.4,,4.5,6.6
Opere di varia adulti,"46,496","106,256","2,285",,"51,860","86,399","1,666",,84.8,67.1,,2.6,-4.8
Totale,"55,554","156,925","2,825",,"61,188","128,825","2,105",,100.0,100.0,,3.7,-7.1
,,,,,,,,,,,,,
CLASSI  DI  PREZZO,,,,,,,,,,,,,
"Fino a 10,00 euro ","13,689","61,207","4,471",,"14,055","47,383","3,371",,23.0,36.8,,-0.7,-9.4
"Da 10,01 a 15,00 ","15,089","32,639","2,163",,"17,387","28,610","1,645",,28.4,22.2,,0.1,-7.1
"Da 15,01 a 20,00 ","10,477","28,601","2,730",,"12,118","24,344","2,009",,19.8,18.9,,9.6,0.3
"Da 20,01 a 30,00","8,621","16,698","1,937",,"9,687","12,200","1,259",,15.8,9.5,,8.2,-15.8
"Da 30,01 a 50,00","4,541","6,313","1,390",,"4,903","5,814","1,186",,8.0,4.5,,5.9,-1.0
"Oltre 50,00","1,873","6,492","3,466",,"2,019","8,551","4,235",,3.3,6.6,,6.0,35.4
Opere gratuite o fuori commercio,"1,264","4,975","3,936",,"1,019","1,922","1,886",,1.7,1.5,,-2.6,-57.5
Non indicato,-,-,-,,-,-,-,,-,-,,-,-
Totale,"55,554","156,925","2,825",,"61,188","128,825","2,105",,100.0,100.0,,3.7,-7.1
  ,,,,,,,,,,,,,
TIPI DI EDITORE (e),,,,,,,,,,,,,
Piccoli editori,"3,234","3,685","1,139",,"3,380","3,536","1,046",,5.5,2.7,,-3.2,0.8
Medi editori,"9,799","11,253","1,148",,"11,272","14,809","1,314",,18.4,11.5,,0.3,21.8
Grandi editori,"42,521","141,987","3,339",,"46,536","110,481","2,374",,76.1,85.8,,5.0,-10.3
Totale,"55,554","156,925","2,825",,"61,188","128,825","2,105",,100.0,100.0,,3.7,-7.1
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"(a) Per l'anno di riferimento 2016, ha risposto all'indagine il 90,2% per cento degli editori registrati in archivio.",,,,,,,,,,,,,
"(b) Per consentire un confronto coerente con l'anno precedente e tenere sotto controllo la variazione nel numero di unità rispondenti, le variazioni percentuali sono calcolate assumendo come base di riferimento per la comparazione esclusivamente la produzione degli editori che sono risultati rispondenti sia nel 2015 sia nel 2016",,,,,,,,,,,,,
,,,,,,,,,,,,,
"c) Per ""prima edizione"" si intende la prima pubblicazione di un manoscritto in lingua originale o tradotto; per ""edizione successiva"" quella che si differenzia dalle precedenti per modifiche apportate nel testo originale o per variazioni  nella veste tipografica; per ""ristampa"" l'edizione che non comporta alcuna modifica rispetto all'edizione precedente.",,,,,,,,,,,,,
"(d) Esclusi  i testi  universitari  ed  i  parascolastici, compresi  nelle opere  di varia adulti.",,,,,,,,,,,,,
"(e) Gli editori sono stati classificati, in base al numero di opere librarie pubblicate nel corso dell'anno, in: ""piccoli editori"" = da 1 a 10 opere; ""medi editori"" = da 11 a 50 opere; ""grandi editori"" = oltre 50 opere. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
