Tavola 2 - ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2020,,,,2021,,,,Composizione percentuale,,,Variazione percentuale annua rispetto al 2020(a),,,Variazione percentuale annua rispetto al 2019 (a),
,Opere pubblicate,"Tiratura totale
(miglaia di copie)",Tiratura media per opera,,Opere pubblicate,"Tiratura totale
(miglaia di copie)",Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale"
,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,,,,,,,,,,,,,,,,
Prime edizioni (b),"48,342","92,933","1,922",,"53,861","109,650","2,036",,59.7,54.8,,13.5,10.3,,11.4,-0.2
Edizioni successive,"6,719","17,494","2,604",,"5,405","15,225","2,817",,6.0,7.6,,-18.4,-15.1,,-23.7,-24.6
Ristampe,"27,658","62,977","2,277",,"30,929","75,333","2,436",,34.3,37.6,,14.2,21.1,,11.1,18.3
Totale,"82,719","173,404","2,096",,"90,195","200,208","2,220",,100.0,100.0,,11.1,11.7,,8.2,3.7
,,,,,,,,,,,,,,,,
GENERI,,,,,,,,,,,,,,,,
Opere scolastiche (c),"9,529","39,117","4,105",,"8,209","56,483","6,881",,9.1,28.2,,-14.6,32.9,,-16.2,-4.1
Opere per bambini e ragazzi,"7,786","32,503","4,174",,"8,949","38,093","4,257",,9.9,19.0,,17.7,5.6,,12.1,25.4
Opere di varia adulti,"65,404","101,784","1,556",,"73,037","105,632","1,446",,81.0,52.8,,14.2,5.5,,11.4,2.2
Totale,"82,719","173,404","2,096",,"90,195","200,208","2,220",,100.0,100.0,,11.1,11.7,,8.2,3.7
,,,,,,,,,,,,,,,,
CLASSI  DI  PREZZO,,,,,,,,,,,,,,,,
"Fino a 10,00 euro ","15,571","52,225","3,354",,"15,834","61,637","3,893",,17.6,30.8,,1.5,0.4,,-12.4,-10.0
"Da 10,01 a 15,00 ","23,825","38,202","1,603",,"26,373","41,379","1,569",,29.2,20.7,,13.0,10.0,,10.8,7.1
"Da 15,01 a 20,00 ","18,159","42,257","2,327",,"20,982","46,078","2,196",,23.3,23.0,,18.3,10.4,,18.7,13.2
"Da 20,01 a 30,00","14,817","19,073","1,287",,"15,907","21,414","1,346",,17.6,10.7,,10.8,18.4,,16.9,22.9
"Da 30,01 a 50,00","7,139","7,206","1,009",,"7,652","10,984","1,435",,8.5,5.5,,10.3,60.1,,16.5,40.1
"Oltre 50,00","2,267","8,901","3,926",,"2,555","11,112","4,349",,2.8,5.6,,9.8,24.8,,1.1,-10.6
Opere gratuite o fuori commercio,941,"5,539","5,887",,892,"7,604","8,525",,1.0,3.8,,-1.2,35.6,,-22.7,-15.5
Non indicato,-,-,-,,,,,,-,0.0,,,,,,
Totale,"82,719","173,404","2,096",,"90,195","200,208","2,220",,100.0,100.0,,11.1,11.7,,8.2,3.7
  ,,,,,,,,,,,,,,,,
TIPI DI EDITORE (d),,,,,,,,,,,,,,,,
Micro editori,"8,384","1,641",196,,"7,387","1,441",195,,8.2,0.7,,-2.9,-5.3,,7.0,2.6
Piccoli editori,"25,704","12,788",498,,"30,882","13,498",437,,34.2,6.7,,20.1,8.6,,16.6,-3.4
Medi editori,"23,682","35,317","1,491",,"24,391","33,157","1,359",,27.0,16.6,,7.1,0.9,,5.1,-10.8
Grandi editori,"24,949","123,657","4,956",,"27,535","152,112","5,524",,30.5,76.0,,9.7,15.1,,3.4,8.5
Totale,"82,719","173,404","2,096",,"90,195","200,208","2,220",,100.0,100.0,,11.1,11.7,,8.2,3.7
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(a)  ,,,,,,,,,,,,,,,,
"(b)  Per ""prima edizione"" si intende la prima pubblicazione di un manoscritto in lingua originale o tradotto; per ""edizione successiva"" quella che si differenzia dalle precedenti per modifiche apportate nel testo originale o per variazioni  nella veste tipografica; per ""ristampa"" l'edizione che non comporta alcuna modifica rispetto all'edizione precedente.",,,,,,,,,,,,,,,,
"(c) Esclusi  i testi  universitari ed i parascolastici, compresi nelle opere di varia adulti.",,,,,,,,,,,,,,,,
"(d)  Gli editori sono classificati, in base al numero totale di copie stampate delle opere librarie pubblicate nel corso dell'anno, in: ""micro editori"" = da 1 a 5.000 copie; ""piccoli editori"" = da 5.001 a 100.000 copie; ""medi editori"" = da 100.001 a 1 milione di copie; ""grandi editori"" = oltre un milione di copie. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
