Tavola 2 -,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,,,,,,,
,,,,Numero,%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,
Prime edizioni,"1,986 ",27.3 ,,"8,762 ",24.8 ,,"4,412 ",,,,,,,,,
Edizioni successive,100 ,1.4 ,,129 ,0.4 ,,"1,294 ",,,,,,,,,
Ristampe,"5,192 ",71.3 ,,"26,486 ",74.9 ,,"5,101 ",,,,,,,,,
Totale,"7,278 ",100.0 ,,"35,377 ",100.0 ,,"4,861 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"3,743 ",67.3 ,,"18,664 ",61.8 ,,"4,986 ",,,,,,,,,
Edizioni successive,365 ,6.6 ,,"1,953 ",6.5 ,,"5,351 ",,,,,,,,,
Ristampe,"1,456 ",26.2 ,,"9,596 ",31.8 ,,"6,591 ",,,,,,,,,
Totale,"5,564 ",100.0 ,,"30,213 ",100.0 ,,"5,430 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"33,444 ",68.1 ,,"81,276 ",70.0 ,,"2,430 ",,,,,,,,,
Edizioni successive,"3,070 ",6.2 ,,"8,556 ",7.4 ,,"2,787 ",,,,,,,,,
Ristampe,"12,610 ",25.7 ,,"26,273 ",22.6 ,,"2,083 ",,,,,,,,,
Totale,"49,124 ",100.0 ,,"116,104 ",100.0 ,,"2,363 ",,,,,,,,,
,,,,,,,,,,,,,,,,
TOTALE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"39,173 ",63.2 ,,"108,701 ",59.8 ,,"2,775 ",,,,,,,,,
Edizioni successive,"3,535 ",5.7 ,,"10,638 ",5.9 ,,"3,009 ",,,,,,,,,
Ristampe,"19,258 ",31.1 ,,"62,355 ",34.3 ,,"3,238 ",,,,,,,,,
Totale,"61,966 ",100.0 ,,"181,694 ",100.0 ,,"2,932 ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
