Tavola 3 -,,,,,,,,
,,,,,,,,
,,,,,,,,
TIPI DI EDIZIONE,Opere pubblicate,,,Tiratura totale,,,"Tiratura media 
per opera",
,Numero,%,,Numero,%,,,
,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,
,,   ,,,,,,
Prime edizioni,"3,407 ",34.6 ,,"22,108 ",40.5 ,,"6,489 ",
Edizioni successive,762 ,7.7 ,,"2,489 ",4.6 ,,"3,266 ",
Ristampe,"5,664 ",57.6 ,,"29,992 ",54.9 ,,"5,295 ",
Totale,"9,833",100.0 ,,"54,588",100.0 ,,"5,552",
,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,
,,,,,,,,
Prime edizioni,"5,006 ",57.8 ,,"18,276 ",59.1 ,,"3,651 ",
Edizioni successive,979 ,11.3 ,,"3,954 ",12.8 ,,"4,039 ",
Ristampe,"2,682 ",30.9 ,,"8,714 ",28.2 ,,"3,249 ",
Totale,"8,667",100.0 ,,"30,944",100.0 ,,"3,570",
,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,
,,,,,,,,
Prime edizioni,"42,087 ",61.9 ,,"65,146 ",61.1 ,,"1,548 ",
Edizioni successive,"5,576 ",8.2 ,,"14,441 ",13.5 ,,"2,590 ",
Ristampe,"20,312 ",29.9 ,,"27,077 ",25.4 ,,"1,333 ",
Totale,"67,975",100.0 ,,"106,664",100.0 ,,"1,569 ",
,,,,,,,,
TOTALE,,,,,,,,
,,,,,,,,
Prime edizioni,"50,500",58.4,,"105,529",54.9,,"2,090",
Edizioni successive,"7,317",8.5,,"20,884",10.9,,"2,854",
Ristampe,"28,658",33.1,,"65,782",34.2,,"2,295",
Totale,"86,475 ",100.0,,"192,195 ",100.0,,"2,223",
,,,,,,,,
,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2020",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
