Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,,Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,
"                     precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,,,"                                  precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,
                     di comune - Anno 2012,,,,,,,,,,,,,,                                  di comune - Anno 2012,,,,,,,,,,,,
                     (dati in migliaia),,,,,,,,,,,,,,                                  (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,
"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,,,"REGIONI, RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale
,,,,,,,,,,,,,,,,,,,,,,,,,,
Piemonte                              ,"4,189","2,163",,944,532,343,344,,,,,,,Piemonte                              ,51.6,,22.5,12.7,8.2,8.2,,43.6,24.6,15.9,15.9,100.0
Valle d'Aosta/Vallée d'Aoste                       ,120,68,,23,21,11,12,,,,,,,Valle d'Aosta/Vallée d'Aoste                       ,56.3,,18.9,17.6,9.5,10.3,,33.6,31.3,16.8,18.2,100.0
Liguria                               ,"1,528",801,,320,223,134,124,,,,,,,Liguria                               ,52.4,,20.9,14.6,8.8,8.1,,39.9,27.9,16.8,15.5,100.0
Lombardia                             ,"9,336","5,031",,"1,932","1,293",850,957,,,,,,,Lombardia                             ,53.9,,20.7,13.9,9.1,10.2,,38.4,25.7,16.9,19.0,100.0
Trentino-Alto Adige                   ,970,567,,220,145,97,105,,,,,,,Trentino-Alto Adige                   ,58.4,,22.7,14.9,10.0,10.8,,38.9,25.5,17.1,18.5,100.0
Bolzano/Bozen,474,281,,105,73,44,58,,,,,,,Bolzano/Bozen,59.2,,22.2,15.4,9.3,12.3,,37.5,26.0,15.7,20.8,100.0
Trento,495,286,,115,72,53,46,,,,,,,Trento,57.7,,23.3,14.5,10.7,9.3,,40.3,25.1,18.5,16.2,100.0
Veneto                                ,"4,626","2,611",,"1,142",621,420,427,,,,,,,Veneto                                ,56.4,,24.7,13.4,9.1,9.2,,43.7,23.8,16.1,16.4,100.0
