"Tavola 64 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,"Tavola 64 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2020",,,,,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2020 ",,,,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONI,,,,,,,,,,,,,,,,REGIONI,,,,,,,,,,,
Piemonte ,46.2,40.1,19.2,,,,,,,,,,,,,Piemonte ,"1,896",761,365,,,,,,,,
Valle d'Aosta-Vallée d'Aoste,48.5,32.6,21.9,,,,,,,,,,,,,Valle d'Aosta-Vallée d'Aoste,57,19,13,,,,,,,,
Liguria   ,47.0,39.3,15.8,,,,,,,,,,,,,Liguria   ,690,271,109,,,,,,,,
Lombardia ,49.3,40.4,17.3,,,,,,,,,,,,,Lombardia ,"4,700","1,900",813,,,,,,,,
Trentino-Alto Adige,53.6,37.0,21.2,,,,,,,,,,,,,Trentino-Alto Adige,539,199,114,,,,,,,,
 - Bolzano - Bozen,51.7,38.1,20.3,,,,,,,,,,,,, - Bolzano - Bozen,256,97,52,,,,,,,,
 - Trento,55.5,36.0,22.0,,,,,,,,,,,,, - Trento,283,102,62,,,,,,,,
Veneto    ,47.7,40.8,16.5,,,,,,,,,,,,,Veneto    ,"2,218",906,366,,,,,,,,
Friuli-Venezia Giulia    ,51.6,35.9,20.6,,,,,,,,,,,,,Friuli-Venezia Giulia    ,594,213,122,,,,,,,,
Emilia-Romagna     ,47.4,40.1,18.2,,,,,,,,,,,,,Emilia-Romagna     ,"2,003",804,365,,,,,,,,
Toscana       ,45.4,45.6,13.7,,,,,,,,,,,,,Toscana       ,"1,604",732,220,,,,,,,,
