"Tavola 55 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,,"Tavola 55 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2021",,,,,,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2021",,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONI,,,,,,,,,,,,,,,,,REGIONI,,,,,,,,,
Piemonte ,46.3,40.7,18.3,,,,,,,,,,,,,,Piemonte ,"1,892",770,347,,,,,,
Valle d'Aosta-Vallée d'Aoste,47.6,33.1,21.5,,,,,,,,,,,,,,Valle d'Aosta-Vallée d'Aoste,56,19,12,,,,,,
Liguria   ,46.7,37.0,17.7,,,,,,,,,,,,,,Liguria   ,682,252,121,,,,,,
Lombardia ,48.9,41.0,17.9,,,,,,,,,,,,,,Lombardia ,"4,655","1,908",833,,,,,,
Trentino-Alto Adige,50.3,34.3,22.5,,,,,,,,,,,,,,Trentino-Alto Adige,507,174,114,,,,,,
 - Bolzano - Bozen,48.4,31.8,22.0,,,,,,,,,,,,,, - Bolzano - Bozen,240,76,53,,,,,,
 - Trento,52.2,36.6,23.0,,,,,,,,,,,,,, - Trento,266,97,61,,,,,,
Veneto    ,45.2,43.1,16.2,,,,,,,,,,,,,,Veneto    ,"2,094",904,340,,,,,,
Friuli-Venezia Giulia    ,47.0,39.4,17.4,,,,,,,,,,,,,,Friuli-Venezia Giulia    ,538,212,94,,,,,,
Emilia-Romagna     ,46.4,42.9,15.2,,,,,,,,,,,,,,Emilia-Romagna     ,"1,959",841,298,,,,,,
Toscana       ,45.7,41.1,14.5,,,,,,,,,,,,,,Toscana       ,"1,610",662,233,,,,,,
