Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,
,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2011",,,,,,,,,,,,,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2011",,,,,,,,,,,,
,  (dati in migliaia),,,,,,,,,,,,,"  (dati percentuali: per 100 persone di 6 anni e più dello stesso sesso, classe di età e titolo di studio)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"CLASSI DI ETÀ E 
TITOLI DI STUDIO",,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,"CLASSI DI ETÀ E 
TITOLI DI STUDIO",,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,
,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,MASCHI,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6-24',Laurea             ,75,43,,19,12,11,2,,,,,6-24',Laurea             ,56.6,,25.3,15.3,14.1,2,,44.7,27,24.8,3.5,100
,Diploma superiore  ,"1,183",563,,283,131,96,53,,,,,,Diploma superiore  ,47.6,,23.9,11.1,8.1,4.4,,50.3,23.3,17.1,9.3,100
,Licenza media      ,"1,985",787,,431,202,100,55,,,,,,Licenza media      ,39.6,,21.7,10.2,5,2.8,,54.8,25.6,12.7,7,100
