"Tavola 59 - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e ",,,,,,,,,,,,,,,,,,,"Tavola 59 segue - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e ",,,,,,,,,
"                      Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,,,,,,,,,,,,,"                                  Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,,,
                      (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,,,,,,,,,,,,,                                  (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,,,
"                     per regione, ripartizione geografica e tipo di comune - Anno 2022 (per 100 persone di 6 anni e più della stessa zona)",,,,,,,,,,,,,,,,,,,"                                  per regione, ripartizione geografica e tipo di comune - Anno 2022 (dati in migliaia)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,Libri cartacei (a),"Ebook/libri online 
(a)","Audiolibri 
(a)",,Solo Libri cartacei (b),"Solo ebook-libri on line
(b)","Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)",,,,,,,,,,,,TERRITORIO,Libri cartacei ,Ebook/libri online,Audiolibri ,,Solo Libri cartacei,Solo ebook-libri on line,"Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONI,,,,,,,,,,,,,,,,,,,REGIONI,,,,,,,,,
Piemonte ,38.9,11.9,1.8,,71.3,10.6,17.7,,,,,,,,,,,,Piemonte ,"1,573",479,73,,"1,263",188,313,,
Valle d'Aosta-Vallée d'Aoste,38.0,13.8,1.1,,67.4,12.9,19.7,,,,,,,,,,,,Valle d'Aosta-Vallée d'Aoste,44,16,1,,35,7,10,,
Liguria   ,36.8,11.4,2.0,,71.0,12.3,16.6,,,,,,,,,,,,Liguria   ,531,165,29,,430,75,100,,
Lombardia ,43.1,12.4,2.6,,71.3,9.5,18.6,,,,,,,,,,,,Lombardia ,"4,075","1,175",250,,"3,240",433,846,,
Trentino-Alto Adige,44.3,14.8,3.8,,66.5,11.3,21.3,,,,,,,,,,,,Trentino-Alto Adige,448,150,38,,341,58,109,,
 - Bolzano - Bozen,39.8,15.8,3.9,,62.2,14.7,21.9,,,,,,,,,,,, - Bolzano - Bozen,199,79,20,,148,35,52,,
 - Trento,48.7,13.9,3.6,,70.3,8.3,20.8,,,,,,,,,,,, - Trento,249,71,19,,193,23,57,,
Veneto    ,40.0,12.9,2.6,,70.1,11.1,18.2,,,,,,,,,,,,Veneto    ,"1,844",594,121,,"1,474",234,383,,
Friuli-Venezia Giulia    ,43.5,12.1,2.0,,73.5,10.3,16.1,,,,,,,,,,,,Friuli-Venezia Giulia    ,496,138,23,,410,57,90,,
Emilia-Romagna     ,38.7,11.8,2.6,,71.3,11.0,17.0,,,,,,,,,,,,Emilia-Romagna     ,"1,631",499,109,,"1,326",205,317,,
Toscana       ,39.3,11.4,2.7,,71.9,10.3,17.1,,,,,,,,,,,,Toscana       ,"1,378",399,96,,"1,118",160,267,,
