"PERSONE DI 6 ANNI E PIÙ CHE HANNO LETTO ALMENO UN LIBRO NEL TEMPO LIBERO NEI 12 MESI PRECEDENTI L’INTERVISTA PER SESSO, AREA GEOGRAFICA E TITOLO DI STUDIO",
"Anno 2010, per 100 persone di 6 anni e più con le stesse caratteristiche (dati percentuali)",
,
"SESSO, AREA GEOGRAFICA E TITOLO DI STUDIO",2010
Maschi,40.1
Femmine,53.1
,
Nord-ovest,54.3
Nord-est,53.5
Centro,50.6
Sud,34.5
Isole,36.9
,
Laurea ,80.8
Diploma superiore ,60.8
Licenza media ,40.4
Licenza elementare,28.9
,
Totale,46.8
