"Tavola 54.  Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  nei 12 mesi precedenti l'intervista, per sesso ed età. Anno 2016",,,,,
                     (per 100 persone di 6 anni e più con le stesse caratteristiche),,,,,
,,,,,
SESSO ED ETA',,2016,,,
Maschi,6-10 anni,41.7,,,
,11-14 anni,44.4,,,
,15-17 anni,35.2,,,
,18-19 anni,38.3,,,
,20-24 anni,35.6,,,
,25-34 anni,32.5,,,
,35-44 anni,32,,,
,45-54 anni,33.3,,,
,55-59 anni,32,,,
,60-64 anni,35,,,
,65-74 anni,32.7,,,
,75 anni e più,25.8,,,
,6 anni e più,33.5,,,
Femmine,6-10 anni,46.9,,,
,11-14 anni,57.8,,,
,15-17 anni,59.3,,,
,18-19 anni,59.5,,,
,20-24 anni,54.6,,,
,25-34 anni,52.3,,,
,35-44 anni,51.7,,,
,45-54 anni,50.7,,,
,55-59 anni,50.5,,,
,60-64 anni,50.8,,,
,65-74 anni,41.6,,,
,75 anni e più,24.6,,,
,6 anni e più,47.1,,,
Maschi e Femmine,6-10 anni,44.2,,,
,11-14 anni,51.1,,,
,15-17 anni,47.1,,,
,18-19 anni,48.2,,,
,20-24 anni,44.7,,,
,25-34 anni,42.3,,,
,35-44 anni,41.9,,,
,45-54 anni,42.1,,,
,55-59 anni,41.8,,,
,60-64 anni,43,,,
,65-74 anni,37.4,,,
,75 anni e più,25.1,,,
,6 anni e più,40.5,,,
