"Tavola 57 - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  nei 12 mesi precedenti l'intervista, per sesso e classe di età. Anni 2017 - 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tavola 57 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali, nei 12 mesi precedenti l'intervista, per sesso e classe di età. Anni 2017-2022 ",,,,,,
                    (per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SESSO E
CLASSI DI ETÀ",2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,"SESSO E
CLASSI DI ETÀ",2017,2018,2019,2020,2021,2022
Maschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',47.2,43.4,43.8,47.8,40.9,45.1,,,,,,,,,,,,,,,,,,,,,,,06-10',695,625,634,671,557,598
11-24',48,53.1,50.7,54.6,49.4,50.1,,,,,,,,,,,,,,,,,,,,,,,11-'14,564,634,603,660,553,571
15-17 ,42,45.1,42.2,43.7,41,41.6,,,,,,,,,,,,,,,,,,,,,,,15-17 ,394,416,399,407,386,350
18-19 ,36.5,44.5,47.4,45.4,41.8,43.4,,,,,,,,,,,,,,,,,,,,,,,18-19 ,208,254,297,279,244,248
20-24 ,39.5,38.3,42.4,41.4,44.6,41.6,,,,,,,,,,,,,,,,,,,,,,,20-24 ,607,599,623,595,695,666
25-34 ,33.5,37.8,37,38.8,40.3,37.6,,,,,,,,,,,,,,,,,,,,,,,25-34 ,"1,132","1,266","1,232","1,264","1,305","1,192"
35-44 ,33.3,32.9,35.4,36.9,34.4,34.2,,,,,,,,,,,,,,,,,,,,,,,35-44 ,"1,429","1,370","1,431","1,419","1,294","1,232"
45-54 ,33.2,31.5,33.5,34.1,35.8,31.6,,,,,,,,,,,,,,,,,,,,,,,45-54 ,"1,592","1,517","1,611","1,626","1,692","1,454"
55-59 ,32.5,32.8,33.9,32.9,31.4,29.6,,,,,,,,,,,,,,,,,,,,,,,55-59 ,628,687,717,733,714,672
60-64 ,37.1,33.8,34.6,36.1,36.5,33.2,,,,,,,,,,,,,,,,,,,,,,,60-64 ,694,609,646,697,711,660
