"Tavola 58 - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e",,,,,,,,,,,,,,,,,,,"Tavola 58 segue - Persone di 6 anni e più per abitudine alla lettura di libri cartacei, e-book/libri on line e l'ascolto di audiolibri e",,,,,,,
"                      Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,,,,,,,,,,,,,"                                  Lettori di 6 anni e più che leggono solo libri cartacei, solo ebook/libri on line o che utilizzano più dispositivi per la lettura",,,,,,,
                     (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,,,,,,,,,,,,,                                  (libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri),,,,,,,
                     per classe di età e sesso - Anno 2022 (per 100 persone di 6 anni e più dello stesso sesso e classe di età)               ,,,,,,,,,,,,,,,,,,,                                  per classe di età e sesso - Anno 2022 (dati in migliaia)               ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"SESSO E
CLASSI DI ETÀ",Libri cartacei (a),"Ebook/libri online 
(a)","Audiolibri 
(a)",,Solo Libri cartacei (b),"Solo ebook-libri on line
(b)","Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)",,,,,,,,,,,,"SESSO E
CLASSI DI ETÀ",Libri cartacei ,Ebook/libri online,Audiolibri ,,Solo Libri cartacei,Solo ebook-libri on line,"Uso di più dispositivi per la lettura (Libri cartacei insieme a e-book/libri on line e/o ascolto di audiolibri oppure e-book/libri on line e ascolto di audiolibri) 
(b)"
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,,,,,,,MASCHI,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6-10',42.9,3.4,2.4,,88.2,4.7,6.9,,,,,,,,,,,,6-10',568,45,31,,527,28,41
11-24',43.4,10.9,2.6,,74.3,11.7,12.4,,,,,,,,,,,,6-10',495,124,29,,425,67,71
15-17,33,14.6,4.2,,61,18.9,19.7,,,,,,,,,,,,15-17,278,123,35,,214,66,69
18-19,32.1,17.1,2.6,,57.2,23.8,17.4,,,,,,,,,,,,18-19,183,98,15,,142,59,43
20-24,32.8,17.3,2.3,,57,21.1,21.9,,,,,,,,,,,,20-24,525,276,37,,379,141,146
25-34,29.1,15.1,2.6,,57,21.9,20.8,,,,,,,,,,,,25-34,922,478,84,,680,261,248
35-44,27.2,11.9,2.2,,62,18.3,17.9,,,,,,,,,,,,35-44,980,427,78,,764,226,221
45-54,24.7,12.6,1.6,,58.7,20.1,20.5,,,,,,,,,,,,45-54,"1,138",582,72,,853,292,299
55-59,24.2,9.5,1.8,,65.3,17.1,16.8,,,,,,,,,,,,55-59,548,215,41,,438,115,113
60-64,28.3,9.5,1.2,,70.5,14,15.2,,,,,,,,,,,,60-64,563,188,23,,465,92,100
65-74,28.7,7.1,1.2,,76.2,6.7,16.6,,,,,,,,,,,,65-74,911,224,39,,748,66,163
75 e più,23,3.4,0.6,,85.3,4.3,10.4,,,,,,,,,,,,75 e più,678,101,18,,606,31,74
Totale,28.6,10.6,1.8,,66.9,15.5,17,,,,,,,,,,,,Totale,"7,791","2,883",504,,"6,240","1,443","1,587"
,,,,,,,,,,,,,,,,,,,,,,,,,,
FEMMINE,,,,,,,,,,,,,,,,,,,FEMMINE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6-10',47.9,7,2.1,,84.7,7.2,8,,,,,,,,,,,,6-10',582,86,26,,532,45,50
11-24',58.8,17,3.4,,71.7,7.7,20,,,,,,,,,,,,11-24',651,188,37,,511,55,143
15-17,49.8,23.7,3,,58.7,17.2,23.5,,,,,,,,,,,,15-17,419,199,25,,299,88,120
18-19,47.6,19.8,2.5,,63.3,15.1,21.6,,,,,,,,,,,,18-19,293,122,16,,218,52,75
20-24,47.3,22.2,1.7,,60.6,18.4,20.8,,,,,,,,,,,,20-24,643,301,23,,480,146,165
25-34,44.8,18,3.6,,62.9,13,23.9,,,,,,,,,,,,25-34,"1,360",545,108,,990,205,376
35-44,40.9,17,3.1,,63,14.8,21.8,,,,,,,,,,,,35-44,"1,474",613,112,,"1,101",259,381
