Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,,,,,,,,,Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2015",,,,,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2015",,,,,,,,,,,,
                  (dati in migliaia),,,,,,,,,,,,,,,                  (per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,,,,CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,,,MASCHI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',"1,504",632,,310,163,96,63,,,,,,,,06-10',42,,20.6,10.8,6.4,4.2,,49.1,25.8,15.2,9.9,100
11-24',"1,144",518,,293,128,47,49,,,,,,,,11-24',45.3,,25.7,11.2,4.2,4.2,,56.7,24.8,9.2,9.4,100
15-17                                 ,941,401,,233,104,42,22,,,,,,,,15-17                                 ,42.6,,24.8,11,4.5,2.4,,58,25.9,10.5,5.5,100
18-19                                 ,649,254,,131,70,30,24,,,,,,,,18-19                                 ,39.2,,20.1,10.8,4.6,3.7,,51.3,27.5,11.7,9.5,100
20-24                                 ,"1,472",542,,274,130,96,42,,,,,,,,20-24                                 ,36.8,,18.6,8.8,6.5,2.8,,50.5,24,17.7,7.7,100
25-34                                 ,"3,454","1,229",,660,279,188,102,,,,,,,,25-34                                 ,35.6,,19.1,8.1,5.5,2.9,,53.7,22.7,15.3,8.3,100
35-44                                 ,"4,519","1,528",,848,347,169,164,,,,,,,,35-44                                 ,33.8,,18.8,7.7,3.7,3.6,,55.5,22.7,11.1,10.7,100
45-54                                 ,"4,729","1,630",,723,452,247,208,,,,,,,,45-54                                 ,34.5,,15.3,9.5,5.2,4.4,,44.4,27.7,15.2,12.8,100
55-59                                 ,"1,942",660,,293,138,113,116,,,,,,,,55-59                                 ,34,,15.1,7.1,5.8,6,,44.4,20.9,17.1,17.6,100
