"Tavola 59 - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,,,,,,,,,,,"Tavola 59 segue - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,
                     Anno 2019 (per 100 persone dello stesso sesso e classe di eta'),,,,,,,,,,,,,                                  Anno 2019 (dati in migliaia),,,
,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,CLASSI DI ETÀ,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri
,,,,,,,,,,,,,,,,
,MASCHI,,,,,,,,,,,,MASCHI,,,
,,,,,,,,,,,,,,,,
06-10',43.8,43.2,15.4,,,,,,,,,,06-10',634,274,98
11-24',50.7,55.2,7.1,,,,,,,,,,11-24',603,333,43
15-17                                 ,42.2,53.6,7.7,,,,,,,,,,15-17                                 ,399,214,31
18-19                                 ,47.4,55.4,10,,,,,,,,,,18-19                                 ,297,165,30
20-24                                 ,42.4,47.9,11.8,,,,,,,,,,20-24                                 ,623,299,73
25-34                                 ,37,49.4,10.4,,,,,,,,,,25-34                                 ,"1,232",609,128
35-44                                 ,35.4,51.5,11.2,,,,,,,,,,35-44                                 ,"1,431",737,161
45-54                                 ,33.5,46.3,14.5,,,,,,,,,,45-54                                 ,"1,611",746,234
55-59                                 ,33.9,47,16.1,,,,,,,,,,55-59                                 ,717,337,115
60-64                                 ,34.6,43.4,21.6,,,,,,,,,,60-64                                 ,646,280,139
65-74                                 ,31.7,39.1,22.1,,,,,,,,,,65-74                                 ,"1,024",400,226
75 e più,24.1,44.1,17.3,,,,,,,,,,75 e più,656,290,113
Totale                                ,35.5,47.4,14.1,,,,,,,,,,Totale                                ,"9,872","4,683","1,391"
,,,,,,,,,,,,,,,,
,FEMMINE,,,,,,,,,,,,FEMMINE,,,
,,,,,,,,,,,,,,,,
06-10',49.4,43,14.5,,,,,,,,,,06-10',658,283,95
11-24',62.8,40.1,16.3,,,,,,,,,,11-24',720,289,117
15-17                                 ,66.9,38.9,15.2,,,,,,,,,,15-17                                 ,582,226,88
18-19                                 ,66.1,34.5,12.6,,,,,,,,,,18-19                                 ,341,118,43
20-24                                 ,59,40.6,12.6,,,,,,,,,,20-24                                 ,837,340,106
25-34                                 ,48.2,41.3,17,,,,,,,,,,25-34                                 ,"1,557",642,264
35-44                                 ,48.2,47.2,15.7,,,,,,,,,,35-44                                 ,"1,952",921,307
45-54                                 ,45.5,43.2,13.6,,,,,,,,,,45-54                                 ,"2,244",969,305
55-59                                 ,43.5,41.2,16.4,,,,,,,,,,55-59                                 ,"1,011",417,166
60-64                                 ,42.7,41.5,21.4,,,,,,,,,,60-64                                 ,824,342,176
65-74                                 ,37.7,35.7,23,,,,,,,,,,65-74                                 ,"1,343",479,309
75 e più,23.6,44.6,20.3,,,,,,,,,,75 e più,960,428,195
Totale                                ,44.3,41.9,16.7,,,,,,,,,,Totale                                ,"13,026","5,454","2,172"
,,,,,,,,,,,,,,,,
,MASCHI E FEMMINE,,,,,,,,,,,,MASCHI E FEMMINE,,,
,,,,,,,,,,,,,,,,
06-10',46.5,43.1,14.9,,,,,,,,,,06-10',"1,292",557,193
11-24',56.6,47,12.1,,,,,,,,,,11-24',"1,323",622,160
15-17                                 ,54.1,44.9,12.2,,,,,,,,,,15-17                                 ,981,440,119
18-19                                 ,55.9,44.3,11.4,,,,,,,,,,18-19                                 ,638,283,73
20-24                                 ,50.5,43.7,12.3,,,,,,,,,,20-24                                 ,"1,460",638,179
25-34                                 ,42.5,44.9,14.1,,,,,,,,,,25-34                                 ,"2,788","1,251",392
35-44                                 ,41.8,49,13.8,,,,,,,,,,35-44                                 ,"3,383","1,658",468
45-54                                 ,39.6,44.5,14,,,,,,,,,,45-54                                 ,"3,855","1,715",539
55-59                                 ,38.9,43.6,16.3,,,,,,,,,,55-59                                 ,"1,727",754,281
60-64                                 ,38.7,42.3,21.5,,,,,,,,,,60-64                                 ,"1,470",622,316
65-74                                 ,34.8,37.2,22.6,,,,,,,,,,65-74                                 ,"2,366",880,535
75 e più,23.8,44.4,19.1,,,,,,,,,,75 e più,"1,616",718,308
Totale                                ,40,44.3,15.6,,,,,,,,,,Totale                                ,"22,898","10,136","3,563"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,
