Tavola 1 - Editori per Regione 2010,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
REGIONE DI PUBBLICAZIONE,Anno 2010,,,,,,,,,,
,Piccoli editori,Medi editori,Grandi editori,Totale,,Piccoli editori,Medi editori,Grandi editori,Totale,,Quota percentuale su totale Italia
,N.,N.,N.,N.,,%,%,%,%,,
,,,,,,,,,,,
Piemonte,80,38,21,139,,57.6,27.3,15.1,100,,8.4
Valle d'Aosta/Vallée d'Aoste,4,3,-,7,,57.1,42.9,-,100,,0.4
Lombardia,174,86,71,331,,52.6,26,21.5,100,,20.1
Liguria,35,10,1,46,,76.1,21.7,2.2,100,,2.8
Bolzano/Bozen,10,6,1,17,,58.8,35.3,5.9,100,,1
Trento,15,10,2,27,,55.6,37,7.4,100,,1.6
Trentino-Alto Adige/Südtirol,25,16,3,44,,56.8,36.4,6.8,100,,2.7
Veneto,84,24,9,117,,71.8,20.5,7.7,100,,7.1
Friuli-Venezia Giulia,29,8,6,43,,67.4,18.6,14,100,,2.6
Emilia-Romagna,87,41,21,149,,58.4,27.5,14.1,100,,9
Toscana,82,45,21,148,,55.4,30.4,14.2,100,,9
Umbria,25,8,4,37,,67.6,21.6,10.8,100,,2.2
Marche,16,11,3,30,,53.3,36.7,10,100,,1.8
Lazio,154,82,30,266,,57.9,30.8,11.3,100,,16.1
Abruzzo,14,9,4,27,,51.9,33.3,14.8,100,,1.6
Molise,4,2,-,6,,66.7,33.3,-,100,,0.4
Campania,61,33,5,99,,61.6,33.3,5.1,100,,6
Puglia,26,16,5,47,,55.3,34,10.6,100,,2.9
Basilicata,6,2,-,8,,75,25,0,100,,0.5
Calabria,8,7,2,17,,47.1,41.2,11.8,100,,1
Sicilia,42,13,6,61,,68.9,21.3,9.8,100,,3.7
Sardegna,18,8,-,26,,69.2,30.8,-,100,,1.6
,,,,,,,,,,,
ITALIA,974,462,212,"1,648",,59.1,28,12.9,100,,100
Nord-ovest,293,137,93,523,,56,26.2,17.8,100,,31.7
Nord-est,225,89,39,353,,63.7,25.2,11,100,,21.4
Centro,277,146,58,481,,57.6,30.4,12.1,100,,29.2
Sud,119,69,16,204,,58.3,33.8,7.8,100,,12.4
Isole,60,21,6,87,,69,24.1,6.9,100,,5.3
