Tavola 1 - ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2011,,,,2012,,,,Composizioni percentuali (b),,,,,
,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,,,Tiratura totale,,
,,,,,,,,,2011,2012,,2011,2012,
,,,,,,,,,,,,,,
TIPI  DI  EDIZIONE (c),,,,,,,,,,,,,,
Prime edizioni,"36,183","124,381","3,476",,"38,394","105,295","2,747",,61.1,62.6,,56.4,56.6,
Edizioni successive,"4,710","16,547","3,608",,"3,530","11,554","3,276",,8.0,2.8,,7.5,1.8,
Ristampe,"18,344","79,778","4,350",,"17,306","62,758","3,626",,31.0,34.6,,36.1,41.6,
Totale,"59,237","220,706","3,759",,"59,230","179,607","3,036",,100.0,100.0,,100.0,100.0,
,,,,,,,,,,,,,,
GENERI  DI  OPERA,,,,,,,,,,,,,,
Opere scolastiche (d),"6,643","55,439","8,354",,"5,937","40,524","6,826",,11.2,11.8,,25.1,26.2,
Opere per ragazzi,"4,916","30,745","6,273",,"4,550","24,750","5,439",,8.3,8.4,,13.9,14.3,
Opere di varia adulti,"47,678","134,522","2,852",,"48,743","114,333","2,349",,80.5,79.8,,61.0,59.5,
Totale,"59,237","220,706","3,759",0,"59,230","179,607","3,036",,100.0,100.0,,100.0,100.0,
,,,,,,,,,,,,,,
CLASSI  DI  PREZZO,,,,,,,,,,,,,,
"Fino a 10,00 euro ","16,910","89,659","5,302",,"15,262","70,373","4,612",,28.5,28.7,,40.6,41.1,
"Da 10,01 a 15,00 ","14,269","42,283","2,963",,"14,864","37,502","2,525",,24.1,23.6,,19.2,18.2,
"Da 15,01 a 20,00 ","10,633","38,745","3,644",,"10,581","28,345","2,684",,17.9,17.7,,17.6,17.5,
"Da 20,01 a 30,00","8,870","21,698","2,446",,"9,335","20,153","2,164",,15.0,15.2,,9.8,9.7,
"Da 30,01 a 50,00","4,726","11,716","2,479",,"5,065","9,427","1,865",,8.0,8.3,,5.3,5.7,
"Oltre 50,00","2,381","12,725","5,344",,"2,335","9,568","4,098",,4.0,4.1,,5.8,6.0,
Opere gratuite o fuori commercio,"1,091","3,297","3,022",,"1,185","3,331","2,811",,1.8,1.9,,1.5,1.6,
Non indicato,357,583,"1,633",,603,907,"1,505",,0.6,0.5,,0.3,0.3,
Totale,"59,237","220,706","3,759",,"59,230","179,607","3,036",,100.0,100.0,,100.0,100.0,
  ,,,,,,,,,,,,,,
TIPI DI EDITORE (e),,,,,,,,,,,,,,
Piccoli editori,"3,603","5,891","1,691",,"3,944","5,011","1,271",,6.1,5.5,,2.7,2.0,
Medi editori,"10,721","18,985","1,818",,"11,237","17,786","1,583",,18.1,18.2,,8.6,8.7,
Grandi editori,"44,913","195,830","4,373",,"44,049","156,810","3,565",,75.8,76.3,,88.7,89.3,
Totale,"59,237","220,706","3,759",,"59,230","179,607","3,036",,100.0,100.0,,100.0,100.0,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
