Tavola 2 - ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",,2022,,,,Composizione percentuale,,,Variazione percentuale annua rispetto al 2021(a),,,Variazione percentuale annua rispetto al 2020 (a),,,Variazione percentuale annua rispetto al 2019(a),,,
,,Opere pubblicate,"Tiratura totale
(migliaia di copie)",Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,
,,,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,,,,,,,,,,,,,,,,,,
Prime edizioni (b),,"47,661","100,947","2,184",,55.3,51.0,,-3.0,-1.2,,7.5,5.3,,3.9,-4.0,,
Edizioni successive,,"5,340","16,504","3,091",,6.2,8.3,,-14.3,-9.3,,-29.2,-21.0,,-41.6,-39.6,,
Ristampe,,"33,173","80,561","2,429",,38.5,40.7,,10.5,7.8,,26.2,31.3,,26.1,33.4,,
Totale,,"86,174","198,012","2,337",,100.0,100.0,,1.3,1.7,,11.4,12.8,,7.5,5.1,,
,,,,,,,,,,,,,,,,,,
GENERI,,,,,,,,,,,,,,,,,,
Opere scolastiche (c),,"8,629","47,366","5,489",,10.0,23.9,,8.9,-9.3,,-8.4,24.3,,22.9,-11.6,,
Opere per bambini e ragazzi,,"10,779","43,860","4,108",,12.5,22.1,,19.7,14.6,,31.2,16.6,,22.9,37.8,,
Opere di varia adulti,,"66,766","106,787","1,632",,77.5,53.9,,-2.0,2.1,,11.7,7.5,,8.4,4.7,,
Totale,,"86,174","198,012","2,337",,100.0,100.0,,1.3,1.7,,11.4,12.8,,7.5,5.1,,
,,,,,,,,,,,,,,,,,,
CLASSI  DI  PREZZO,,,,,,,,,,,,,,,,,,
"Fino a 10,00 euro ",,"15,754","59,545","3,795",,18.3,30.1,,8.0,5.7,,5.8,2.2,,-8.9,-8.2,,
"Da 10,01 a 15,00 ",,"24,361","41,108","1,733",,28.3,20.8,,-2.4,-0.5,,10.8,10.1,,7.7,7.2,,
"Da 15,01 a 20,00 ",,"20,623","48,012","2,396",,23.9,24.2,,3.8,5.0,,21.9,16.9,,20.2,19.1,,
"Da 20,01 a 30,00",,"14,789","25,628","1,745",,17.2,12.9,,-3.1,17.4,,6.3,41.4,,10.6,42.8,,
"Da 30,01 a 50,00",,"7,198","10,259","1,431",,8.4,5.2,,-0.1,-7.3,,7.6,45.3,,13.0,30.6,,
"Oltre 50,00",,"2,129","4,739","2,243",,2.5,2.4,,-11.7,-58.6,,-0.8,-48.1,,-6.5,-58.4,,
Opere gratuite o fuori commercio,,"1,320","8,722","6,607",,1.5,4.4,,56.4,16.9,,57.8,61.0,,16.6,-1.5,,
Non indicato,,-,-,-,,-,-,,,,,,,,,,,
Totale,,"86,174","198,012","2,337",,100.0,100.0,,1.3,1.7,,11.4,12.8,,7.5,5.1,,
  ,,,,,,,,,,,,,,,,,,
TIPI DI EDITORE (d),,,,,,,,,,,,,,,,,,
Micro editori,,"8,305","1,337",183,,9.6,0.7,,5.3,-4.9,,-0.9,-11.3,,10.4,-2.8,,
Piccoli editori,,"25,910","13,481",529,,30.1,6.8,,-0.4,3.3,,21.1,10.9,,15.4,1.1,,
Medi editori,,"21,738","33,142","1,525",,25.2,16.7,,-8.2,3.3,,-1.3,3.8,,-3.6,-8.1,,
Grandi editori,,"30,221","150,053","4,965",,35.1,75.8,,10.1,1.3,,17.8,15.5,,10.1,9.1,,
Totale,,"86,174","198,012","2,337",,100.0,100.0,,1.3,1.7,,11.4,12.8,,7.5,5.1,,
 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2023",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
(a)  ,,,,,,,,,,,,,,,,,,
"(b)  Per ""prima edizione"" si intende la prima pubblicazione di un manoscritto in lingua originale o tradotto; per ""edizione successiva"" quella che si differenzia dalle precedenti per modifiche apportate nel testo originale o per variazioni  nella veste tipografica; per ""ristampa"" l'edizione che non comporta alcuna modifica rispetto all'edizione precedente.",,,,,,,,,,,,,,,,,,
"(c) Esclusi  i testi  universitari ed i parascolastici, compresi nelle opere di varia adulti.",,,,,,,,,,,,,,,,,,
"(d)  Gli editori sono classificati, in base al numero totale di copie stampate delle opere librarie pubblicate nel corso dell'anno, in: ""micro editori"" = da 1 a 5.000 copie; ""piccoli editori"" = da 5.001 a 100.000 copie; ""medi editori"" = da 100.001 a 1 milione di copie; ""grandi editori"" = oltre un milione di copie. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
