Tavola 2 -,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,,,,,,,
,,,,Numero,%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,
Prime edizioni,"3,044 ",44.2 ,,"19,640 ",48.4 ,,"6,452 ",,,,,,,,,
Edizioni successive,180 ,2.6 ,,245 ,0.6 ,,"1,364 ",,,,,,,,,
Ristampe,"3,659 ",53.2 ,,"20,724 ",51.0 ,,"5,664 ",,,,,,,,,
Totale,"6,883 ",100.0 ,,"40,609 ",100.0 ,,"5,900 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"2,858 ",61.8 ,,"13,861 ",62.9 ,,"4,850 ",,,,,,,,,
Edizioni successive,505 ,10.9 ,,"2,725 ",12.4 ,,"5,395 ",,,,,,,,,
Ristampe,"1,258 ",27.2 ,,"5,454 ",24.7 ,,"4,335 ",,,,,,,,,
Totale,"4,621 ",100.0 ,,"22,039 ",100.0 ,,"4,769 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"30,540 ",65.9 ,,"71,440 ",67.9 ,,"2,339 ",,,,,,,,,
Edizioni successive,"3,078 ",6.6 ,,"7,028 ",6.7 ,,"2,283 ",,,,,,,,,
Ristampe,"12,698 ",27.4 ,,"26,777 ",25.4 ,,"2,109 ",,,,,,,,,
Totale,"46,316 ",100.0 ,,"105,246 ",100.0 ,,"2,272 ",,,,,,,,,
,,,,,,,,,,,,,,,,
TOTALE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"36,442 ",63.0 ,,"104,941 ",62.5 ,,"2,880 ",,,,,,,,,
Edizioni successive,"3,763 ",6.5 ,,"9,998 ",6.0 ,,"2,657 ",,,,,,,,,
Ristampe,"17,615 ",30.5 ,,"52,954 ",31.5 ,,"3,006 ",,,,,,,,,
Totale,"57,820 ",100.0 ,,"167,893 ",100.0 ,,"2,904 ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
