Tavola 2 -,,,,,,,,,,
,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,
,,,,Numero,%,,,,,
,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,
,,   ,,,,,,,,
Prime edizioni,"3,324 ",40.0 ,,"24,487 ",53.0 ,,"7,367 ",,,
Edizioni successive,199 ,2.4 ,,376 ,0.8 ,,"1,892 ",,,
Ristampe,"4,787 ",57.6 ,,"21,363 ",46.2 ,,"4,463 ",,,
Totale,"8,310",100.0 ,,"46,226",100.0 ,,"5,563",,,
,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"3,825 ",62.3 ,,"14,306 ",63.2 ,,"3,740 ",,,
Edizioni successive,286 ,4.7 ,,"1,096 ",4.8 ,,"3,831 ",,,
Ristampe,"2,030 ",33.1 ,,"7,240 ",32.0 ,,"3,566 ",,,
Totale,"6,141",100.0 ,,"22,641",100.0 ,,"3,687",,,
,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"35,654 ",64.0 ,,"57,895 ",62.8 ,,"1,624 ",,,
Edizioni successive,"3,251 ",5.8 ,,"9,878 ",10.7 ,,"3,039 ",,,
Ristampe,"16,803 ",30.2 ,,"24,448 ",26.5 ,,"1,455 ",,,
Totale,"55,708",100.0 ,,"92,221",100.0 ,,"1,655 ",,,
,,,,,,,,,,
TOTALE,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"42,803",61.0,,"96,687",60.1,,"2,259",,,
Edizioni successive,"3,736",5.3,,"11,350",7.0,,"3,038",,,
Ristampe,"23,620",33.7,,"53,051",32.9,,"2,245",,,
Totale,"70,159 ",100.0,,"161,088 ",100.0 ,,"2,296",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
