Tavola 2 -,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,
,,,,Numero,%,,,,,
,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,
,,   ,,,,,,,,
Prime edizioni,"3,202 ",32.7 ,,"26,936 ",46.2 ,,"8,412 ",,,
Edizioni successive,83 ,0.8 ,,273 ,0.5 ,,"3,285 ",,,
Ristampe,"6,501 ",66.4 ,,"31,130 ",53.4 ,,"4,789 ",,,
Totale,"9,786",100.0 ,,"58,339",100.0 ,,"5,961",,,
,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"3,641 ",56.5 ,,"12,935 ",57.0 ,,"3,553 ",,,
Edizioni successive,439 ,6.8 ,,"1,262 ",5.6 ,,"2,875 ",,,
Ristampe,"2,360 ",36.6 ,,"8,477 ",37.4 ,,"3,592 ",,,
Totale,"6,440",100.0 ,,"22,675",100.0 ,,"3,521",,,
,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"39,875 ",67.0 ,,"59,875 ",68.9 ,,"1,502 ",,,
Edizioni successive,"3,728 ",6.3 ,,"8,568 ",9.9 ,,"2,298 ",,,
Ristampe,"15,929 ",26.8 ,,"18,504 ",21.3 ,,"1,162 ",,,
Totale,"59,532",100.0 ,,"86,947",100.0 ,,"1,461 ",,,
,,,,,,,,,,
TOTALE,,,,,,,,,,
,,,,,,,,,,
Prime edizioni,"46,718",61.7,,"99,746",59.4,,"2,135",,,
Edizioni successive,"4,250",5.6,,"10,103",6.0,,"2,377",,,
Ristampe,"24,790",32.7,,"58,112",34.6,,"2,344",,,
Totale,"75,758 ",100.0,,"167,961 ",100.0,,"2,217",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
