Tavola 3 -,,,,,,,,
,,,,,,,,
,,,,,,,,
TIPI DI EDIZIONE,Opere pubblicate,,,Tiratura totale,,,"Tiratura media 
per opera",
,Numero,%,,Numero,%,,,
,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,
,,   ,,,,,,
Prime edizioni,"3,411",35.8,,"13,529",34.6,,"3,966",
Edizioni successive,944,9.9,,"2,900",7.4,,"3,072",
Ristampe,"5,174",54.3,,"22,687",58.0,,"4,385",
Totale,"9,529",100.0,,"39,117",100.0,,"4,105",
,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,
,,,,,,,,
Prime edizioni,"4,276",54.9,,"18,132",55.8,,"4,240",
Edizioni successive,717,9.2,,"3,385",10.4,,"4,721",
Ristampe,"2,793",35.9,,"10,985",33.8,,"3,933",
Totale,"7,786",100.0,,"32,503",100.0,,"4,174",
,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,
,,,,,,,,
Prime edizioni,"40,655",62.2,,"61,272",60.2,,"1,507",
Edizioni successive,"5,058",7.7,,"11,209",11.0,,"2,216",
Ristampe,"19,691",30.1,,"29,304",28.8,,"1,488",
Totale,"65,404",100.0,,"101,784",100.0,,"1,556",
,,,,,,,,
TOTALE,,,,,,,,
,,,,,,,,
Prime edizioni,"48,342",58.4,,"92,933",53.6,,"1,922",
Edizioni successive,"6,719",8.1,,"17,494",10.1,,"2,604",
Ristampe,"27,658",33.4,,"62,977",36.3,,"2,277",
Totale,"82,719",100.0,,"173,404",100.0,,"2,096",
,,,,,,,,
,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2021",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
