Tavola 3 -,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TIPI DI EDIZIONE,Opere pubblicate,,,Tiratura totale,,,"Tiratura media 
per opera",,
,Numero,%,,Numero,%,,,,
,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,
,,   ,,,,,,,
Prime edizioni,"2,865",34.9,,"24,283",43.0,,"8,476",,
Edizioni successive,251,3.1,,"1,551",2.7,,"6,178",,
Ristampe,"5,093",62.0,,"30,649",54.3,,"6,018",,
Totale,"8,209",100.0,,"56,483",100.0,,"6,881",,
,,,,,,,,,
OPERE PER BAMBINI E RAGAZZI,,,,,,,,,
,,,,,,,,,
Prime edizioni,"4,842",54.1,,"21,826",57.3,,"4,508",,
Edizioni successive,948,10.6,,"3,466",9.1,,"3,656",,
Ristampe,"3,159",35.3,,"12,801",33.6,,"4,052",,
Totale,"8,949",100.0,,"38,093",100.0,,"4,257",,
,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,
,,,,,,,,,
Prime edizioni,"46,154",63.2,,"63,541",60.2,,"1,377",,
Edizioni successive,"4,206",5.8,,"10,209",9.7,,"2,427",,
Ristampe,"22,677",31.0,,"31,882",30.2,,"1,406",,
Totale,"73,037",100.0,,"105,632",100.0,,"1,446",,
,,,,,,,,,
TOTALE,,,,,,,,,
,,,,,,,,,
Prime edizioni,"53,861",59.7,,"109,650",54.8,,"2,036",,
Edizioni successive,"5,405",6.0,,"15,225",7.6,,"2,817",,
Ristampe,"30,929",34.3,,"75,333",37.6,,"2,436",,
Totale,"90,195",100.0,,"200,208",100.0,,"2,220",,
,,,,,,,,,
,,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2022",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
