Tavola 3 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,Tavola 3 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, regione, ripartizione geografica e tipo ",,,,,,,,,,,,,
                   di comune - Anno 2011,,,,,,,,,,,,                   di comune - Anno 2011,,,,,,,,,,,,,
                   (dati in migliaia),,,,,,,,,,,,                   (dati percentuale: per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,
"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,"REGIONI,
RIPARTIZIONI GEOGRAFICHE
E TIPI DI COMUNE","Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,
,,,,,,,,,,,,,,,,,,,,,,,,,
Piemonte                              ,"4,181","2,193",,833,587,380,394,,,,,Piemonte                              ,52.4,,19.9,14.0,9.1,9.4,,38.0,26.8,17.3,18.0,100.0,
Valle d'Aosta/Vallée d'Aoste                       ,120,63,,25,15,12,11,,,,,Valle d'Aosta/Vallée d'Aoste                       ,53.0,,20.9,12.8,10.4,8.9,,39.4,24.2,19.7,16.7,100.0,
Lombardia                             ,"9,262","5,005",,"1,914","1,381",831,878,,,,,Lombardia                             ,54.0,,20.7,14.9,9.0,9.5,,38.3,27.6,16.6,17.5,100.0,
Trentino-Alto Adige                   ,961,560,,196,146,108,110,,,,,Trentino-Alto Adige                   ,58.3,,20.4,15.2,11.2,11.4,,35.1,26.1,19.2,19.6,100.0,
Bolzano/Bozen,470,273,,96,70,49,58,,,,,Bolzano/Bozen,58.1,,20.3,15.0,10.4,12.3,,35.0,25.8,18.0,21.2,100.0,
Trento,491,287,,101,76,58,52,,,,,Trento,58.4,,20.5,15.4,11.9,10.6,,35.1,26.4,20.4,18.1,100.0,
Veneto                                ,"4,604","2,497",,"1,064",636,446,351,,,,,Veneto                                ,54.2,,23.1,13.8,9.7,7.6,,42.6,25.5,17.8,14.1,100.0,
Friuli-Venezia Giulia                 ,"1,158",672,,281,165,109,117,,,,,Friuli-Venezia Giulia                 ,58.0,,24.2,14.3,9.4,10.1,,41.8,24.6,16.2,17.4,100.0,
