"Tav 3.21 - Persone di 6 anni e più che hanno letto libri negli ultimi 12 mesi per numero di libri letti, regione, ripartizione geografica e tipo di comune - Anno 2014",,,,,,,,,,,
(per 100 persone con le stesse caratteristiche),,,,,,,,,,,
,,,,,,,,,,,
TERRITORIO,,"Hanno letto libri
(a) ","Di cui: da 1 a 3
libri (b)","Di cui: 12 e più
libri (b)",,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,REGIONI,,,,,,,,,
,,,,,,,,,,,
Piemonte,,49.2,38.0,18.0,,,,,,,
Valle d'Aosta/Vallée d'Aoste,,48.1,36.6,14.9,,,,,,,
Liguria  ,,50.4,38.2,17.1,,,,,,,
Lombardia   ,,47.3,39.8,18.3,,,,,,,
Trentino-Alto Adige/Südtirol,,53.3,35.4,18.5,,,,,,,
Bolzano/Bozen,,54.5,35.2,20.2,,,,,,,
Trento,,52.2,35.6,16.8,,,,,,,
Veneto  ,,46.0,43.3,15.7,,,,,,,
Friuli-Venezia Giulia,,53.6,38.0,20.2,,,,,,,
Emilia-Romagna,,50.1,42.1,16.9,,,,,,,
Toscana  ,,48.2,44.0,12.8,,,,,,,
Umbria  ,,39.0,46.1,12.7,,,,,,,
Marche   ,,39.5,52.6,9.5,,,,,,,
Lazio ,,45.2,40.5,14.1,,,,,,,
Abruzzo  ,,34.0,50.5,9.5,,,,,,,
Molise  ,,37.0,54.2,7.0,,,,,,,
Campania  ,,29.7,63.4,4.9,,,,,,,
Puglia  ,,26.8,56.8,8.2,,,,,,,
Basilicata ,,26.9,53.8,6.5,,,,,,,
Calabria   ,,29.9,59.0,8.6,,,,,,,
Sicilia  ,,26.2,59.8,8.0,,,,,,,
Sardegna  ,,45.7,41.5,16.8,,,,,,,
,,,,,,,,,,,
,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,
,,,,,,,,,,,
Nord-ovest,,48.1,39.1,18.1,,,,,,,
Nord-est,,49.0,41.4,17.0,,,,,,,
Centro,,44.9,43.4,13.1,,,,,,,
Sud,,29.4,59.0,6.9,,,,,,,
Isole,,31.1,53.0,11.2,,,,,,,
ITALIA,,41.4,45.0,14.3,,,,,,,
,,,,,,,,,,,
,,TIPI DI COMUNE,,,,,,,,,
,,,,,,,,,,,
Comune centro dell'area metropolitana ,,50.8,39.7,17.9,,,,,,,
Periferia dell'area metropolitana     ,,42.2,43.9,14.2,,,,,,,
Fino a 2.000 abitanti                  ,,37.2,48.0,11.8,,,,,,,
Da 2.001 a 10.000 abitanti             ,,38.4,46.8,13.3,,,,,,,
Da 10.001 a 50.000 abitanti           ,,38.7,47.7,12.6,,,,,,,
50.001 abitanti e più                ,,42.9,44.1,15.4,,,,,,,
Totale,,41.4,45.0,14.3,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Fonte: Istat, Indagine multiscopo ""Aspetti della vita quotidiana""",,,,,,,,,,,
(a) Per 100 persone di 6 anni e più.,,,,,,,,,,,
(b) Per 100 lettori di libri.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
