"Tavola 56 - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  nei 12 mesi precedenti l'intervista, ",,,,,,
"                     per regione, ripartizione geografica e tipo di comune- Anno 2016",,,,,,
                     (per 100 persone di 6 anni e più della stessa zona),,,,,,
,,,,,,
"REGIONI, RIPARTIZIONI GEOGRAFICHE E TIPO DI COMUNE",Leggono libri               (a),da 1 a  3 libri                      (b),12 e  più libri                (b),,,
Piemonte,48.1,41.3,16.2,,,
Valle d'Aosta/Vallée d'Aoste,51.1,29.4,21.8,,,
Liguria,46.8,37.4,16.5,,,
Lombardia,48.9,38.8,17.1,,,
Trentino-Alto Adige,53.4,39.5,16.3,,,
Bolzano/Bozen,51.9,38.4,16.4,,,
Trento,54.8,40.5,16.2,,,
Veneto,48.7,43.3,16.0,,,
Friuli-Venezia Giulia,54.3,39.6,18.0,,,
Emilia-Romagna,46.1,42.9,14.6,,,
Toscana,44.2,42.2,15.8,,,
Umbria,39.8,43.5,16.0,,,
Marche,40.0,49.2,11.1,,,
Lazio,42.9,45.8,13.9,,,
Abruzzo,34.5,51.7,11.2,,,
Molise,31.9,49.8,13.5,,,
Campania,26.3,62.3,5.3,,,
Puglia,27.2,59.7,8.4,,,
Basilicata,30.4,57.0,7.0,,,
Calabria,25.1,56.6,8.3,,,
Sicilia,25.8,52.1,9.3,,,
Sardegna,45.7,44.3,12.7,,,
,,,,,,
Nord-Ovest,48.5,39.2,16.8,,,
Nord-Est,48.7,42.3,15.7,,,
Centro,42.7,44.9,14.3,,,
Sud,27.5,59.0,7.6,,,
Isole,30.7,49.2,10.5,,,
,,,,,,
Comune centro dell'area metropolitana,48.6,39.1,16.7,,,
Periferia dell'area metropolitana,42.0,45.7,12.8,,,
Fino a 2.000 abitanti,35.6,45.9,12.5,,,
Da 2.001 a 10.000 abitanti,38.6,47.9,13.8,,,
Da 10.001 a 50.000 abitanti,37.4,47.5,12.7,,,
50.001 abitanti e piu',41.3,43.7,14.9,,,
Italia,40.5,45.1,14.1,,,
,,,,,,
(b) Per 100 lettori di 6 anni e più dello stessa zona.,,,,,,
(a) Almeno un libro negli ultimi 12 mesi.,,,,,,
,,,,,,
