"Tavola 56 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,"Tavola 56 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2018 ",,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2018 ",,,,,,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONI,,,,,,,,,,,,,REGIONI,,,,,,,,,,,,,
Piemonte ,48.9,40.3,18.5,,,,,,,,,,Piemonte ,"2,025",815,374,,,,,,,,,,
Valle d'Aosta-Vallée d'Aoste,47.1,32.6,21.2,,,,,,,,,,Valle d'Aosta-Vallée d'Aoste,56,18,12,,,,,,,,,,
Liguria   ,47.9,38.2,16.6,,,,,,,,,,Liguria   ,710,271,118,,,,,,,,,,
Lombardia ,49.9,42.2,18.7,,,,,,,,,,Lombardia ,"4,722","1,991",884,,,,,,,,,,
Trentino-Alto Adige,51.6,38.7,21.5,,,,,,,,,,Trentino-Alto Adige,513,199,110,,,,,,,,,,
 - Bolzano - Bozen,48.3,36.8,23.1,,,,,,,,,, - Bolzano - Bozen,236,87,55,,,,,,,,,,
 - Trento,54.7,40.4,20.1,,,,,,,,,, - Trento,276,112,56,,,,,,,,,,
Veneto    ,47.3,46.8,14.8,,,,,,,,,,Veneto    ,"2,186","1,024",324,,,,,,,,,,
Friuli-Venezia Giulia    ,51.7,42.2,19.0,,,,,,,,,,Friuli-Venezia Giulia    ,596,251,113,,,,,,,,,,
Emilia-Romagna     ,48.1,43.0,15.4,,,,,,,,,,Emilia-Romagna     ,"2,022",870,311,,,,,,,,,,
Toscana       ,48.3,44.9,13.1,,,,,,,,,,Toscana       ,"1,714",770,225,,,,,,,,,,
