"Tavola 60 -Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,"Tavola 60 segue - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  ",,,,,,,,,,,,,,,,
"                     nei 12 mesi precedenti l'intervista,    per regione, ripartizione geografica e tipo di comune  - Anno 2019",,,,,,,,,,,,,,,,"                                 nei 12 mesi precedenti l'intervista,   per regione, ripartizione geografica e tipo di comune  - Anno 2019 ",,,,,,,,,,,,,,,,
                    (per 100 persone di 6 anni e più della stessa zona),,,,,,,,,,,,,,,,                                (dati in migliaia),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,,,,TERRITORIO,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONI,,,,,,,,,,,,,,,,REGIONI,,,,,,,,,,,,,,,,
Piemonte ,46.4,41.0,17.7,,,,,,,,,,,,,Piemonte ,"1,916",785,338,,,,,,,,,,,,,
Valle d'Aosta-Vallée d'Aoste,52.0,37.8,18.4,,,,,,,,,,,,,Valle d'Aosta-Vallée d'Aoste,62,23,11,,,,,,,,,,,,,
Liguria   ,47.0,40.9,19.7,,,,,,,,,,,,,Liguria   ,695,285,137,,,,,,,,,,,,,
Lombardia ,48.1,39.9,18.4,,,,,,,,,,,,,Lombardia ,"4,572","1,824",841,,,,,,,,,,,,,
Trentino-Alto Adige,51.0,35.9,20.5,,,,,,,,,,,,,Trentino-Alto Adige,510,183,105,,,,,,,,,,,,,
 - Bolzano - Bozen,48.7,35.8,21.1,,,,,,,,,,,,, - Bolzano - Bozen,240,86,51,,,,,,,,,,,,,
 - Trento,53.2,35.9,20.1,,,,,,,,,,,,, - Trento,269,97,54,,,,,,,,,,,,,
Veneto    ,48.4,42.2,16.4,,,,,,,,,,,,,Veneto    ,"2,244",948,368,,,,,,,,,,,,,
Friuli-Venezia Giulia    ,48.9,40.8,20.1,,,,,,,,,,,,,Friuli-Venezia Giulia    ,564,230,114,,,,,,,,,,,,,
Emilia-Romagna     ,46.7,41.9,16.3,,,,,,,,,,,,,Emilia-Romagna     ,"1,973",826,321,,,,,,,,,,,,,
Toscana       ,45.1,43.2,17.4,,,,,,,,,,,,,Toscana       ,"1,600",692,278,,,,,,,,,,,,,
Umbria   ,41.1,46.9,15.3,,,,,,,,,,,,,Umbria   ,345,162,53,,,,,,,,,,,,,
Marche                                ,40.7,44.7,12.1,,,,,,,,,,,,,Marche                                ,589,264,71,,,,,,,,,,,,,
Lazio                                 ,41.4,42.3,16.1,,,,,,,,,,,,,Lazio                                 ,"2,306",975,372,,,,,,,,,,,,,
Abruzzo                               ,34.5,50.7,11.9,,,,,,,,,,,,,Abruzzo                               ,431,219,51,,,,,,,,,,,,,
Molise                                ,31.4,53.6,7.8,,,,,,,,,,,,,Molise                                ,92,49,7,,,,,,,,,,,,,
Campania                              ,26.7,57.5,8.4,,,,,,,,,,,,,Campania                              ,"1,466",844,124,,,,,,,,,,,,,
Puglia                                ,27.8,50.6,8.5,,,,,,,,,,,,,Puglia                                ,"1,065",538,91,,,,,,,,,,,,,
Basilicata                            ,30.2,54.6,8.1,,,,,,,,,,,,,Basilicata                            ,162,89,13,,,,,,,,,,,,,
Calabria                              ,25.6,55.3,9.8,,,,,,,,,,,,,Calabria                              ,472,261,46,,,,,,,,,,,,,
Sicilia                               ,25.9,55.7,9.7,,,,,,,,,,,,,Sicilia                               ,"1,224",682,119,,,,,,,,,,,,,
Sardegna                              ,38.9,42.4,16.9,,,,,,,,,,,,,Sardegna                              ,610,259,103,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,,,,RIPARTIZIONI GEOGRAFICHE,,,,,,,,,,,,,,,,
Italia nord-occidentale               ,47.6,40.3,18.3,,,,,,,,,,,,,Italia nord-occidentale               ,"7,245","2,917","1,328",,,,,,,,,,,,,
Italia nord-orientale                 ,48.1,41.3,17.1,,,,,,,,,,,,,Italia nord-orientale                 ,"5,291","2,187",907,,,,,,,,,,,,,
Italia centrale                       ,42.5,43.2,16,,,,,,,,,,,,,Italia centrale                       ,"4,840","2,092",774,,,,,,,,,,,,,
Italia meridionale                    ,27.9,54.2,9,,,,,,,,,,,,,Italia meridionale                    ,"3,688","1,999",332,,,,,,,,,,,,,
Italia insulare                       ,29.1,51.3,12.1,,,,,,,,,,,,,Italia insulare                       ,"1,834",940,222,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI COMUNE,,,,,,,,,,,,,,,,TIPI DI COMUNE,,,,,,,,,,,,,,,,
Comune centro dell'area metropolitana ,48.2,38.5,19.7,,,,,,,,,,,,,Comune centro dell'area metropolitana ,"4,195","1,613",826,,,,,,,,,,,,,
Periferia dell'area metropolitana     ,41.2,44.6,14.9,,,,,,,,,,,,,Periferia dell'area metropolitana     ,"3,383","1,510",505,,,,,,,,,,,,,
Fino a 2.000 abitanti                  ,36.0,45.5,17.4,,,,,,,,,,,,,Fino a 2.000 abitanti                  ,"1,085",494,189,,,,,,,,,,,,,
Da 2.001 a 10.000 abitanti             ,36.7,46.0,13.4,,,,,,,,,,,,,Da 2.001 a 10.000 abitanti             ,"4,705","2,166",630,,,,,,,,,,,,,
Da 10.001 a 50.000 abitanti           ,37.1,46.2,14.5,,,,,,,,,,,,,Da 10.001 a 50.000 abitanti           ,"5,481","2,534",793,,,,,,,,,,,,,
50.001 abitanti e più                ,41.8,44.9,15.3,,,,,,,,,,,,,50.001 abitanti e più                ,"4,048","1,819",621,,,,,,,,,,,,,
Italia                                ,40.0,44.3,15.6,,,,,,,,,,,,,Italia                                ,"22,898","10,136","3,563",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
