Tavola 1 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,,,,,,Tavola 1 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2011",,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2011",,,,,,,,,,,,,
                  (dati in migliaia),,,,,,,,,,,,                  (dati percentuali: per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,
,,,,,,,,,,,,,,,,,,,,,,,,,      
MASCHI,,,,,,,,,,,,MASCHI,,,,,,,,,,,,,      
,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',"1,413",704,,361,174,96,72,,,,,06-10',49.8,,25.6,12.3,6.8,5.1,,51.3,24.7,13.7,10.3,100,
11-24',"1,181",653,,345,164,79,66,,,,,11-24',55.3,,29.2,13.9,6.7,5.6,,52.8,25,12.1,10.1,100,
15-17                                 ,877,391,,200,116,44,30,,,,,15-17                                 ,44.5,,22.8,13.2,5,3.5,,51.3,29.7,11.2,7.8,100,
18-19                                 ,645,287,,169,53,40,25,,,,,18-19                                 ,44.5,,26.3,8.2,6.2,3.8,,59,18.4,14,8.6,100,
20-24                                 ,"1,599",649,,330,162,111,46,,,,,20-24                                 ,40.6,,20.6,10.1,7,2.9,,50.9,24.9,17.2,7.1,100,
25-34                                 ,"3,673","1,411",,687,364,232,128,,,,,25-34                                 ,38.4,,18.7,9.9,6.3,3.5,,48.7,25.8,16.5,9.1,100,
35-44                                 ,"4,939","1,937",,979,416,275,266,,,,,35-44                                 ,39.2,,19.8,8.4,5.6,5.4,,50.5,21.5,14.2,13.8,100,
45-54                                 ,"4,335","1,696",,780,428,239,250,,,,,45-54                                 ,39.1,,18,9.9,5.5,5.8,,46,25.2,14.1,14.7,100,
55-59                                 ,"1,891",751,,321,176,118,137,,,,,55-59                                 ,39.7,,17,9.3,6.3,7.2,,42.7,23.4,15.8,18.2,100,
