 Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,,,,,,,Tavola 1a segue - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,,
"                      precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2012",,,,,,,,,,,,,"                                  precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2012",,,,,,,,,,,,,,
                      (dati in migliaia),,,,,,,,,,,,,                                  (per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,,CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,,
,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      
MASCHI,,,,,,,,,,,,,MASCHI,,,,,,,,,,,,,      ,      
,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',"1,426",749,,395,183,94,77,,,,,,06-10',52.6,,27.7,12.8,6.6,5.4,,52.8,24.4,12.6,10.2,100,,
11-24',"1,187",666,,379,155,71,61,,,,,,11-24',56.1,,31.9,13,6,5.2,,56.9,23.2,10.7,9.2,100,,
15-17                                 ,879,430,,227,91,75,37,,,,,,15-17                                 ,48.9,,25.8,10.4,8.5,4.2,,52.8,21.2,17.4,8.6,100,,
18-19                                 ,617,267,,152,53,50,11,,,,,,18-19                                 ,43.2,,24.6,8.7,8.1,1.8,,56.9,20,18.8,4.2,100,,
20-24                                 ,"1,617",696,,330,188,99,79,,,,,,20-24                                 ,43.1,,20.4,11.6,6.1,4.9,,47.4,27,14.3,11.4,100,,
25-34                                 ,"3,549","1,484",,755,348,226,154,,,,,,25-34                                 ,41.8,,21.3,9.8,6.4,4.3,,50.9,23.5,15.3,10.4,100,,
35-44                                 ,"4,930","1,896",,913,455,293,234,,,,,,35-44                                 ,38.5,,18.5,9.2,6,4.8,,48.2,24,15.5,12.4,100,,
45-54                                 ,"4,464","1,726",,849,410,215,251,,,,,,45-54                                 ,38.7,,19,9.2,4.8,5.6,,49.2,23.8,12.5,14.6,100,,
55-59                                 ,"1,853",758,,337,157,135,129,,,,,,55-59                                 ,40.9,,18.2,8.4,7.3,7,,44.5,20.7,17.9,17,100,,
