Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,,,,,,,Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,
"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2013",,,,,,,,,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2013",,,,,,,
                  (per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,,,,,,,,                  (dati in migliaia),,,,,,,
,,,,,,,,,,,,,,,,,,,                                  ,,,,,,,
CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,,,,,,,CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,
,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,,,,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri"
,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,,,,,,,MASCHI,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6-10',47.2,,25.1,10.3,7.1,4.8,,53.1,21.8,15,10.1,100,,,,,,,'6-10',"1,526",720,,383,157,108,73
11-24',51.2,,29,11.9,6.7,3.6,,56.6,23.3,13.1,7,100,,,,,,,11-24',"1,135",581,,329,135,76,40
15-17                                 ,39.4,,21.7,8.4,6.2,3,,55.1,21.3,15.8,7.7,100,,,,,,,15-17                                 ,921,363,,200,77,57,28
18-19                                 ,40.9,,23.1,9,5.7,3.1,,56.5,22.1,13.9,7.5,100,,,,,,,18-19                                 ,597,244,,138,54,34,18
20-24                                 ,38.9,,20,10.1,4.3,4.5,,51.3,26,11.1,11.7,100,,,,,,,20-24                                 ,"1,557",606,,311,157,67,71
25-34                                 ,35.5,,18.5,8.9,4.7,3.5,,52.1,25,13.1,9.8,100,,,,,,,25-34                                 ,"3,497","1,243",,647,311,163,122
35-44                                 ,37.7,,19.8,8.8,5.1,4,,52.4,23.4,13.5,10.7,100,,,,,,,35-44                                 ,"4,864","1,835",,961,429,248,197
45-54                                 ,37.4,,17.9,8.1,5.9,5.4,,47.9,21.7,15.9,14.5,100,,,,,,,45-54                                 ,"4,431","1,656",,794,360,263,240
55-59                                 ,34.7,,15.2,7.9,5.5,6.1,,43.8,22.7,15.8,17.7,100,,,,,,,55-59                                 ,"2,011",697,,305,158,110,124
60-64                                 ,35.1,,15.6,8.2,5.3,6,,44.4,23.3,15.2,17.1,100,,,,,,,60-64                                 ,"1,783",626,,278,146,95,107
65-74                                 ,32.5,,14.4,7.6,4.4,6.1,,44.3,23.3,13.6,18.7,100,,,,,,,65-74                                 ,"3,043",991,,439,231,135,185
75 e più,22.1,,11.4,5.2,2.7,2.7,,51.6,23.7,12.3,12.4,100,,,,,,,75 e più,"2,351",521,,269,123,64,65
Totale,36.4,,18.2,8.4,5.1,4.6,,50.1,23.2,14.1,12.6,100,,,,,,,Totale,"27,716","10,081",,"5,054","2,338","1,420","1,269"
,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,      ,      ,,      ,      ,      ,      
FEMMINE,,,,,,,,,,,,,,,,,,,FEMMINE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
06-24',51.6,,24.2,11.8,9.4,6.2,,46.9,22.8,18.2,12.1,100,,,,,,,06-24',"1,468",757,,355,173,138,91
11-24',63.7,,30.8,16.7,8,8.3,,48.3,26.2,12.6,13,100,,,,,,,11-24',"1,048",668,,322,175,84,87
15-17                                 ,63.3,,30.5,16.3,11.8,4.8,,48.2,25.7,18.6,7.5,100,,,,,,,15-17                                 ,820,519,,250,133,96,39
18-19                                 ,60.2,,23.5,17.5,9.2,9.8,,39.1,29.2,15.4,16.3,100,,,,,,,18-19                                 ,544,327,,128,96,50,54
