"Tav 3.20  Persone di 6 anni e più che hanno letto libri negli ultimi 12 mesi per numero di libri letti, sesso e classe di età - Anno 2014",,,,
(per 100 persone con le stesse caratteristiche),,,,
,,,,
"
SESSO
CLASSI D'ETÀ",,Hanno letto libri (a),"Di cui: da 1 a 3
libri (b)","Di cui: 12 e più
libri (b)"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,MASCHI,,
,,,,
06-10',,43.1,46.3,11
11-24',,45.4,57.8,11
15-17 ,,39.8,53,9.1
18-19  ,,42.4,57.8,5.2
20-24 ,,31.9,46.5,11.1
25-34 ,,35.3,54.1,9.8
35-44 ,,34.9,51.3,11.1
45-54 ,,33.7,48.2,12.5
55-59 ,,35.6,41,16.5
60-64 ,,37.5,39.4,16.8
65-74  ,,31.6,40,21
75 e oltre,,22.2,43.3,20
Totale  ,,34.5,47.9,13.2
,,,,
,,FEMMINE,,
,,,,
06-10',,46.1,48.1,13.3
11-24',,62,45.7,16.5
15-17 ,,62.9,44.1,11.5
18-19  ,,61.7,40.6,11.8
20-24 ,,60.1,42.2,10.4
25-34 ,,54.3,48.3,11.6
35-44 ,,54.5,44.7,12.6
45-54 ,,52.8,40.1,17
55-59 ,,49.8,35.8,18.2
60-64 ,,45.6,40.6,16.3
65-74  ,,39.6,42.1,20.2
75 e oltre,,22.2,42.2,20.1
Totale  ,,48,43,15.1
,,,,
,,MASCHI E FEMMINE,,
,,,,
06-10',,44.6,47.2,12.1
11-24',,53.5,51,14.1
15-17 ,,51.1,47.6,10.5
18-19  ,,51.7,47.9,9
20-24 ,,45.6,43.7,10.6
25-34 ,,44.8,50.6,10.9
35-44 ,,44.7,47.3,12
45-54 ,,43.6,43.1,15.3
55-59 ,,42.7,38,17.5
60-64 ,,41.5,40.1,16.5
65-74  ,,35.8,41.2,20.5
75 e oltre,,22.2,42.7,20
Totale,,41.4,45,14.3
,,,,
,,,,
"Fonte: Istat, Indagine multiscopo ""Aspetti della vita quotidiana""",,,,
(a) Per 100 persone di 6 anni e più.,,,,
(b) Per 100 lettori di libri.,,,,
