"Tavola 55 - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  nei 12 mesi precedenti l'intervista,  ",,,,,,,,,
"                     per frequenza, sesso, classe di età e titolo di studio - Anno 2016",,,,,,,,,
"                     (per 100 persone di 6 anni e più dello stesso sesso, classe di età e titolo di studio)",,,,,,,,,
,,,,,,,,,
CLASSI DI ETÀ                                    TITOLI DI STUDIO,Leggono libri               (c),da 1 a                         3 libri                      (b),12 e                             più libri                (b),Leggono libri               (c),da 1 a                         3 libri                      (b),12 e                             più libri                (b),Leggono libri               (c),da 1 a                         3 libri                      (b),12 e                             più libri                (b)
,Maschi,,,Femmine,,,Maschi e Femmine,,
,,,,,,,,,
6-24              Laurea e post-laurea,42.9,50.4,10.7,75.6,32.3,11.2,69.2,31.3,9.9
                       Diploma superiore  ,32.7,57.9,6.6,57.6,42.1,9,47.9,48.4,8.4
                       Licenza media      ,39.1,57,7.7,56.1,41.6,14.6,43.9,47.8,11.5
                       Licenza elementare ,58.8,29.2,7.4,50.2,47.9,14.2,46.4,49.1,12.5
               Totale             ,39.2,53.3,8.8,54.6,43.8,12.9,46.6,47.9,11.1
,,,,,,,,,
25-44            Laurea e post-laurea,7.8,43.5,15.3,76,35,16.5,71.1,37.9,15.9
                       Diploma superiore  ,13.3,63.6,7.7,53.4,48.5,11,42.9,50.9,10.5
                       Licenza media      ,33.1,54.5,9.8,27,53.7,5.5,19.5,57.4,6.4
                       Licenza elementare ,63.9,42.9,14.7,9.8,86.6,0.5,8.6,92.9,0.2
               Totale             ,32.2,51.6,11.3,52,43.9,12.5,42.1,46.9,12
,,,,,,,,,
45-64            Laurea e post-laurea,70.2,32.3,21.4,82.7,26.6,25.6,76.7,29.1,23.7
                       Diploma superiore  ,41.8,50.6,12.7,63,40.7,15,52.8,44.5,14.1
                       Licenza media      ,17.1,57.7,5.9,33.2,49.5,10.1,24.9,52.4,8.6
                       Licenza elementare ,9,62.6,11.4,18.3,65.7,10.3,14.3,64.8,10.6
               Totale             ,33.4,46.8,13.9,50.7,40.3,16.2,42.2,42.8,15.3
,,,,,,,,,
65 e più        Laurea e post-laurea,74.8,27.4,25.5,78.6,24.9,30.3,76.4,26.3,27.6
                       Diploma superiore  ,48.7,37.3,19.8,67.2,37.2,22.4,57.3,37.3,21.2
                       Licenza media      ,27.1,59.5,11.5,42.5,42.1,18,34.8,48.9,15.5
                       Licenza elementare ,11.2,64,9.2,16.6,53.7,13.2,14.7,56.5,12.1
               Totale             ,29.6,44.3,17.6,32.5,41.9,19.5,31.2,42.9,18.7
,,,,,,,,,
TOTALE     Laurea e post-laurea,67.8,35.7,18.9,78.4,31,20.8,73.6,33,20
                       Diploma superiore  ,38.9,50.5,12.2,59.2,43.1,13.8,48.9,46.1,13.2
                       Licenza media      ,20.9,59.1,7.6,38,46.4,12.2,29.1,51.1,10.5
                       Licenza elementare ,23.9,54.4,10.2,26.3,51.8,13.4,25.3,52.9,12.1
               Totale             ,33.5,49.2,12.6,47.1,42.4,15,40.5,45.1,14.1
,,,,,,,,,
,,,,,,,,,
"(b) Per 100 lettori di 6 anni e più dello stesso sesso, classe di età e titolo di studio.",,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,
,,,,,,,,,
