"Tavola 55 - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,,,,,,,,"Tavola 55 segue - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,
                     Anno 2018 (per 100 persone dello stesso sesso e classe di eta'),,,,,,,,,,                                  Anno 2018 (dati in migliaia),,,
,,,,,,,,,,,,,
CLASSI DI ETÀ,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,CLASSI DI ETÀ,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri
,,,,,,,,,,,,,
,MASCHI,,,,,,,,,MASCHI,,,
,,,,,,,,,,,,,
06-10',43.4,50.8,11.2,,,,,,,06-10',625,318,70
11-24',53.1,57.2,10.2,,,,,,,11-24',634,363,64
15-17                                 ,45.1,57.7,6,,,,,,,15-17                                 ,416,240,25
18-19                                 ,44.5,58.5,7.8,,,,,,,18-19                                 ,254,149,20
20-24                                 ,38.3,48.4,10.6,,,,,,,20-24                                 ,599,290,64
25-34                                 ,37.8,50.7,10.6,,,,,,,25-34                                 ,"1,266",642,134
35-44                                 ,32.9,51.8,12.9,,,,,,,35-44                                 ,"1,370",710,177
45-54                                 ,31.5,51,12,,,,,,,45-54                                 ,"1,517",773,182
55-59                                 ,32.8,50.3,15.1,,,,,,,55-59                                 ,687,346,103
60-64                                 ,33.8,45.1,14.4,,,,,,,60-64                                 ,609,274,87
65-74                                 ,32.3,42.6,20.9,,,,,,,65-74                                 ,995,424,208
75 e più,24.2,46,16.5,,,,,,,75 e più,676,311,112
Totale                                ,34.7,50.2,12.9,,,,,,,Totale                                ,"9,647","4,839","1,245"
,,,,,,,,,,,,,
,FEMMINE,,,,,,,,,FEMMINE,,,
,,,,,,,,,,,,,
06-10',48.7,47.3,45.9,,,,,,,06-10',655,309,85
11-24',63.6,43.6,14.3,,,,,,,11-24',711,310,102
15-17                                 ,64,38.4,14.3,,,,,,,15-17                                 ,586,225,84
18-19                                 ,63.9,42.7,10.3,,,,,,,18-19                                 ,376,160,39
20-24                                 ,58.8,41,14,,,,,,,20-24                                 ,785,322,110
25-34                                 ,51,47.7,13,,,,,,,25-34                                 ,"1,664",794,216
35-44                                 ,49.6,47.6,13.5,,,,,,,35-44                                 ,"2,072",986,281
45-54                                 ,50,45.2,13.8,,,,,,,45-54                                 ,"2,470","1,117",340
55-59                                 ,45.6,44,16.5,,,,,,,55-59                                 ,"1,000",440,165
60-64                                 ,48,38.8,22.3,,,,,,,60-64                                 ,944,366,211
65-74                                 ,39,37,21,,,,,,,65-74                                 ,"1,393",516,293
75 e più,23.2,44.9,17.2,,,,,,,75 e più,929,417,159
Totale                                ,46.2,43.9,15.3,,,,,,,Totale                                ,"13,584","5,963","2,083"
,,,,,,,,,,,,,
,MASCHI E FEMMINE,,,,,,,,,MASCHI E FEMMINE,,,
,,,,,,,,,,,,,
06-10',45.9,49,12.1,,,,,,,06-10',"1,279",627,155
11-24',58.2,50,12.3,,,,,,,11-24',"1,345",673,166
15-17                                 ,54.5,46.4,10.8,,,,,,,15-17                                 ,"1,002",465,109
18-19                                 ,54.3,49.1,9.3,,,,,,,18-19                                 ,630,309,59
20-24                                 ,47.8,44.2,12.5,,,,,,,20-24                                 ,"1,384",611,173
25-34                                 ,44.3,49,11.9,,,,,,,25-34                                 ,"2,931","1,436",349
35-44                                 ,41.2,49.3,13.3,,,,,,,35-44                                 ,"3,442","1,697",457
45-54                                 ,40.9,47.4,13.1,,,,,,,45-54                                 ,"3,987","1,890",523
55-59                                 ,39.4,46.6,15.9,,,,,,,55-59                                 ,"1,687",786,269
60-64                                 ,41.2,41.3,19.2,,,,,,,60-64                                 ,"1,553",641,298
65-74                                 ,35.9,39.4,20.9,,,,,,,65-74                                 ,"2,388",940,500
75 e più,23.6,45.4,16.9,,,,,,,75 e più,"1,605",728,271
Totale                                ,40.6,46.5,14.3,,,,,,,Totale                                ,"23,231","10,802","3,328"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,
