Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,,,,,,,,,,,,,Tavola 4 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi precedenti,,,,,,,,
,"    l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2015",,,,,,,,,,,,,,,,,,,,"   l'intervista per numero di libri letti, sesso, classe di età e titolo di studio - Anno 2015",,,,,,,
,"    (per 100 persone di 6 anni e più dello stesso sesso, classe di età e titolo di studio)",,,,,,,,,,,,,,,,,,,,  (dati in migliaia),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CLASSI DI ETÀ E 
TITOLI DI STUDIO",,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,,,,,,,"CLASSI DI ETÀ E 
TITOLI DI STUDIO",,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,,,,,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,,,,,,,,MASCHI,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-24',Laurea e post-laurea,68,,23.4,15.2,21.8,7.7,,34.3,22.4,32,11.3,100,,,,,,,6-24',Laurea e post-laurea,95,64,,22,14,21,7
,Diploma superiore  ,39.5,,19.5,11,6.3,2.6,,49.5,27.8,16.1,6.6,100,,,,,,,,Diploma superiore  ,"1,321",522,,258,145,84,35
,Licenza media      ,37.7,,22.1,9.2,3.6,2.8,,58.5,24.5,9.7,7.3,100,,,,,,,,Licenza media      ,"1,797",678,,397,166,65,50
,Licenza elementare ,43.4,,22.6,10.8,5.7,4.3,,52,24.9,13.1,10,100,,,,,,,,Licenza elementare ,"2,498","1,084",,564,270,142,108
,Totale             ,41.1,,21.7,10.4,5.5,3.5,,52.9,25.4,13.3,8.5,100,,,,,,,,Totale             ,"5,710","2,347",,"1,241",596,312,199
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
25-44,Laurea e post-laurea,66.5,,28.7,17.7,10.1,9.9,,43.2,26.6,15.2,14.9,100,,,,,,,25-44,Laurea e post-laurea,"1,537","1,022",,441,272,156,153
,Diploma superiore  ,34.8,,20.7,7.2,4.4,2.6,,59.3,20.7,12.6,7.4,100,,,,,,,,Diploma superiore  ,"3,708","1,291",,766,267,163,95
,Licenza media      ,17.1,,11.5,3.4,1.5,0.7,,67.6,19.8,8.6,4,100,,,,,,,,Licenza media      ,"2,493",426,,288,84,37,17
,Licenza elementare ,8.1,,5.6,1.3,0.8,0.4,,69.1,16.5,9.9,4.5,100,,,,,,,,Licenza elementare ,235,19,,13,3,2,1
,Totale             ,34.6,,18.9,7.9,4.5,3.3,,54.7,22.7,13,9.6,100,,,,,,,,Totale             ,"7,973","2,757",,"1,508",626,357,266
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
45-64,Laurea e post-laurea,74.2,,21.6,19.3,14.7,18.6,,29.1,26,19.9,25.1,100,,,,,,,45-64,Laurea e post-laurea,"1,181",876,,255,227,174,220
,Diploma superiore  ,42.7,,19.9,11.6,5.9,5.3,,46.6,27.1,13.9,12.4,100,,,,,,,,Diploma superiore  ,"3,218","1,373",,639,372,191,171
,Licenza media      ,20.3,,10.7,4.9,2.6,2.1,,52.9,24.3,12.6,10.1,100,,,,,,,,Licenza media      ,"3,295",669,,354,163,85,68
,Licenza elementare ,5.6,,3.8,0.8,0.5,0.4,,69.2,14.1,9.3,7.5,100,,,,,,,,Licenza elementare ,723,40,,28,6,4,3
,Totale             ,35.1,,15.2,9.1,5.4,5.5,,43.1,26,15.3,15.6,100,,,,,,,,Totale             ,"8,416","2,958",,"1,276",768,453,462
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
65 e più,Laurea e post-laurea,76.4,,22.5,22.2,14.3,17.4,,29.5,29.1,18.6,22.8,100,,,,,,,65 e più,Laurea e post-laurea,492,376,,111,109,70,86
,Diploma superiore  ,50.8,,23.1,11.9,6.2,9.6,,45.5,23.3,12.2,19,100,,,,,,,,Diploma superiore  ,"1,169",594,,270,139,72,113
,Licenza media      ,27,,13.4,6.5,3.3,3.7,,49.7,24.3,12.3,13.7,100,,,,,,,,Licenza media      ,"1,415",382,,190,93,47,52
,Licenza elementare ,11.3,,7.5,1.8,0.9,1.1,,66.4,15.8,7.7,10.1,100,,,,,,,,Licenza elementare ,"2,560",289,,192,46,22,29
,Totale             ,29.1,,13.5,6.9,3.8,5,,46.5,23.5,12.9,17.1,100,,,,,,,,Totale             ,"5,635","1,641",,763,386,211,280
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
TOTALE,Laurea e post-laurea,70.8,,25.1,18.9,12.7,14.1,,35.5,26.7,18,19.9,100,,,,,,,TOTALE,Laurea e post-laurea,"3,304","2,338",,829,623,420,465
,Diploma superiore  ,40.1,,20.5,9.8,5.4,4.4,,51.2,24.4,13.5,10.9,100,,,,,,,,Diploma superiore  ,"9,415","3,780",,"1,933",923,510,413
,Licenza media      ,23.9,,13.6,5.6,2.6,2.1,,57,23.5,10.8,8.7,100,,,,,,,,Licenza media      ,"9,000","2,154",,"1,228",506,233,187
,Licenza elementare ,23.8,,13.2,5.4,2.8,2.3,,55.6,22.7,11.8,9.8,100,,,,,,,,Licenza elementare ,"6,016","1,432",,797,325,170,141
,Totale             ,35,,17.3,8.6,4.8,4.4,,49.3,24.5,13.7,12.4,100,,,,,,,,Totale             ,"27,735","9,704",,"4,787","2,376","1,334","1,207"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEMMINE,,,,,,,,,,,,,,,,,,,,FEMMINE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-24',Laurea e post-laurea,80.8,,28.5,24.4,11,17,,35.3,30.1,13.6,21,100,,,,,,,6-24',Laurea e post-laurea,157,127,,45,38,17,27
,Diploma superiore  ,63.2,,26.3,20.2,9.3,7.4,,41.6,32,14.7,11.6,100,,,,,,,,Diploma superiore  ,"1,271",803,,335,257,118,93
,Licenza media      ,61.1,,26.7,16,10.5,7.9,,43.7,26.2,17.2,12.9,100,,,,,,,,Licenza media      ,"1,657","1,013",,443,266,174,131
,Licenza elementare ,51.1,,24.5,11.9,8.6,6,,48,23.4,16.9,11.8,100,,,,,,,,Licenza elementare ,"2,301","1,175",,564,275,198,138
,Totale             ,57.9,,25.7,15.5,9.4,7.2,,44.4,26.8,16.3,12.5,100,,,,,,,,Totale             ,"5,386","3,118",,"1,386",836,508,389
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
25-44,Laurea e post-laurea,75.5,,27.1,21.5,14,12.9,,35.9,28.4,18.5,17.1,100,,,,,,,25-44,Laurea e post-laurea,"2,177","1,644",,591,468,305,281
,Diploma superiore  ,54.4,,26.1,14.5,8.1,5.6,,48,26.7,15,10.3,100,,,,,,,,Diploma superiore  ,"3,706","2,018",,968,539,302,209
,Licenza media      ,32.5,,20.4,6.8,3.4,2,,62.6,20.8,10.4,6.2,100,,,,,,,,Licenza media      ,"1,846",600,,376,125,63,37
,Licenza elementare ,16.7,,12.7,2,2,     .,,76.1,12.1,11.8,     .,100,,,,,,,,Licenza elementare ,226,38,,29,5,4,     .
,Totale             ,54,,24.7,14.3,8.5,6.6,,45.7,26.4,15.7,12.2,100,,,,,,,,Totale             ,"7,956","4,300",,"1,964","1,136",674,527
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
45-64,Laurea e post-laurea,83.2,,23.8,23.4,16.8,19.1,,28.6,28.2,20.2,23,100,,,,,,,45-64,Laurea e post-laurea,"1,284","1,068",,306,301,216,246
,Diploma superiore  ,64.7,,24.5,18.6,10.9,10.7,,37.8,28.7,16.9,16.6,100,,,,,,,,Diploma superiore  ,"3,400","2,199",,832,631,371,365
,Licenza media      ,37,,18.6,10.1,4.6,3.8,,50.2,27.3,12.3,10.2,100,,,,,,,,Licenza media      ,"3,034","1,121",,563,306,138,114
,Licenza elementare ,18.7,,12.3,3,2,1.4,,65.7,15.9,10.9,7.5,100,,,,,,,,Licenza elementare ,"1,086",203,,133,32,22,15
,Totale             ,52.2,,20.8,14.4,8.5,8.4,,39.9,27.6,16.3,16.1,100,,,,,,,,Totale             ,"8,803","4,592",,"1,834","1,269",748,740
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
65 e più,Laurea e post-laurea,79.5,,21.5,13.1,18.4,26.4,,27,16.5,23.2,33.3,100,,,,,,,65 e più,Laurea e post-laurea,388,308,,83,51,71,102
,Diploma superiore  ,62.1,,20.5,16.9,10.4,14.3,,33.1,27.2,16.7,23,100,,,,,,,,Diploma superiore  ,"1,078",669,,221,182,112,154
,Licenza media      ,40.5,,17.7,9.6,6.4,6.7,,43.9,23.8,15.8,16.5,100,,,,,,,,Licenza media      ,"1,383",560,,246,133,88,93
,Licenza elementare ,17.6,,9.4,4.4,2,1.9,,53.2,24.8,11.3,10.8,100,,,,,,,,Licenza elementare ,"4,542",800,,425,198,90,86
,Totale             ,31.6,,13.2,7.6,4.9,5.9,,41.7,24.1,15.5,18.6,100,,,,,,,,Totale             ,"7,391","2,337",,976,564,362,436
,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,,,,,,,,,      ,      ,,      ,      ,      ,      
TOTALE,Laurea e post-laurea,78.6,,25.6,21.4,15.2,16.4,,32.6,27.2,19.4,20.8,100,,,,,,,TOTALE,Laurea e post-laurea,"4,005","3,147",,"1,024",857,609,656
,Diploma superiore  ,60.2,,24.9,17,9.5,8.7,,41.4,28.3,15.9,14.4,100,,,,,,,,Diploma superiore  ,"9,455","5,690",,"2,357","1,609",903,822
