Museum_Region,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,130
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,63
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,215
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,236
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,499
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,157
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,340
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,180
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,473
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,297
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise,33
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,543
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,203
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,169
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,224
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,558
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,146
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,196
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,50
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,181
