Tavola 4.1 -,,,,,,,,,
,,,,,,,,,
REGIONI E RIPARTIZIONI GEOGRAFICHE                                               ,,Numero,%,,,,,,
,,,,,,,,,
Piemonte,,"1,187",8.5,,,,,,
Valle d'Aosta/Vallée d'Aoste,,66,0.5,,,,,,
Liguria,,413,3.0,,,,,,
Lombardia,,"2,196",15.8,,,,,,
Trentino-Alto Adige,,405,2.9,,,,,,
Bolzano/Bozen,,228,1.6,,,,,,
Trento,,177,1.3,,,,,,
Veneto,,998,7.2,,,,,,
Friuli-Venezia Giulia,,399,2.9,,,,,,
Emilia-Romagna,,"1,113",8.0,,,,,,
Toscana,,897,6.5,,,,,,
Umbria,,302,2.2,,,,,,
Marche,,375,2.7,,,,,,
Lazio,,"1,321",9.5,,,,,,
Abruzzo,,256,1.8,,,,,,
Molise,,116,0.8,,,,,,
Campania,,"1,063",7.7,,,,,,
Puglia,,650,4.7,,,,,,
Basilicata,,132,1.0,,,,,,
Calabria,,446,3.2,,,,,,
Sicilia  ,,932,6.7,,,,,,
Sardegna,,621,4.5,,,,,,
,,,,,,,,,
Nord,,"6,777",48.8,,,,,,
Centro,,"2,895",20.8,,,,,,
Mezzogiorno,,"4,216",30.4,,,,,,
,,,,,,,,,
Totale Italia,,"13,888",100.0,,,,,,
,,,,,,,,,
,,,,,,,,,
Fonte: Istituto centrale per il catalogo unico delle biblioteche (Iccu),,,,,,,,,
(a)  I dati riguardano le biblioteche descritte nell’Anagrafe dell’Iccu al 31 dicembre dell'anno di riferimento.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
