"Tavola 3.1 - Biblioteche per titolarità pubblica e privata, regione e ripartizione geografica (a) - Anno 2019 (valori assoluti)",,,,
,,,,
"REGIONI
RIPARTIZIONI GEOGRAFICHE",,Titolarità,,Totale
,,Pubblica,Privata,
,,,,
Piemonte,, 574 , 140 , 714 
Valle d'Aosta - Vallée d'Aoste,, 55 , 5 , 60 
Lombardia,," 1,212 ", 183 ," 1,395 "
Trentino-Alto Adige,, 367 , 64 , 431 
Bolzano/Bozen,, 222 , 48 , 270 
Trento,, 145 , 16 , 161 
Veneto,, 528 , 89 , 617 
Friuli-Venezia Giulia,, 213 , 39 , 252 
Liguria,, 143 , 74 , 217 
Emilia-Romagna,, 481 , 145 , 626 
Toscana,, 316 , 149 , 465 
Umbria,, 79 , 42 , 121 
Marche,, 132 , 50 , 182 
Lazio,, 318 , 210 , 528 
Abruzzo,, 99 , 37 , 136 
Molise,, 40 , 9 , 49 
Campania,, 224 , 166 , 390 
Puglia,, 123 , 72 , 195 
Basilicata,, 50 , 17 , 67 
Calabria,, 116 , 47 , 163 
Sicilia,, 276 , 86 , 362 
Sardegna,, 376 , 55 , 431 
,,,,
Nord-ovest,," 1,984 ", 402 ," 2,386 "
Nord-est,," 1,589 ", 337 ," 1,926 "
Centro,, 845 , 451 ," 1,296 "
Sud,, 652 , 348 ," 1,000 "
Isole,, 652 , 141 , 793 
,,,,
Italia,," 5,722 "," 1,679 "," 7,401 "
,,,,
,,,,
"Fonte: Istat, ""Indagine sulle biblioteche pubbliche e private"", anno 2020",,,,
(a) Dati provvisori.,,,,
,,,,
,,,,
