Tavola 3.1 -,,,,,,,
,,,,,,,
"REGIONI
RIPARTIZIONI GEOGRAFICHE
DIMENSIONE DEI COMUNI
TIPOLOGIE DI AREE INTERNE",,Pubblica,,Privata,Non risponde,,Totale
,,Totale,Di cui di Ente locale,,,,
,,,,,,,
Piemonte,, 649 , 625 , 120 , 111 ,, 769 
Valle d'Aosta - Vallée d'Aoste,, 52 , 46 , 6 , 11 ,, 58 
Lombardia,," 1,294 "," 1,260 ", 128 , 136 ,," 1,422 "
Trentino-Alto Adige,, 373 , 352 , 60 , 44 ,, 433 
Bolzano/Bozen,, 228 , 221 , 47 , 23 ,, 275 
Trento,, 145 , 131 , 13 , 21 ,, 158 
Veneto,, 524 , 500 , 62 , 61 ,, 586 
Friuli-Venezia Giulia,, 222 , 211 , 43 , 42 ,, 265 
Liguria,, 162 , 143 , 55 , 62 ,, 217 
Emilia-Romagna,, 447 , 413 , 127 , 131 ,, 574 
Toscana,, 312 , 269 , 125 , 127 ,, 437 
Umbria,, 71 , 64 , 34 , 24 ,, 105 
Marche,, 145 , 136 , 61 , 41 ,, 206 
Lazio,, 312 , 228 , 171 , 189 ,, 483 
Abruzzo,, 113 , 90 , 27 , 38 ,, 140 
Molise,, 59 , 59 , 7 , 2 ,, 66 
Campania,, 265 , 233 , 134 , 92 ,, 399 
Puglia,, 153 , 129 , 60 , 42 ,, 213 
Basilicata,, 71 , 60 , 13 , 16 ,, 84 
Calabria,, 157 , 145 , 38 , 31 ,, 195 
Sicilia,, 303 , 271 , 71 , 71 ,, 374 
Sardegna,, 382 , 366 , 51 , 52 ,, 433 
,,,,,,,
Nord-ovest,," 2,157 "," 2,074 ", 309 , 320 ,," 2,466 "
Nord-est,," 1,566 "," 1,476 ", 292 , 278 ,," 1,858 "
Centro,, 840 , 697 , 391 , 381 ,," 1,231 "
Sud,, 818 , 716 , 279 , 221 ,," 1,097 "
Isole,, 685 , 637 , 122 , 123 ,, 807 
,,,,,,,
Fino a 2.000 abitanti,," 1,536 "," 1,522 ", 49 , 44 ,," 1,585 "
Da 2.001 a 5.000 abitanti,," 1,501 "," 1,483 ", 98 , 82 ,," 1,599 "
Da 5.001 a 10.000 abitanti,," 1,010 ", 993 , 74 , 53 ,," 1,084 "
Da 10.001 a 30.000 abitanti,, 844 , 821 , 198 , 106 ,," 1,042 "
Da 30.001 a 50.000 abitanti,, 220 , 187 , 138 , 96 ,, 358 
Più di 50.000 abitanti,, 531 , 380 , 403 , 407 ,, 934 
Città metropolitane,, 424 , 214 , 433 , 535 ,, 857 
,,,,,,,
Comune polo,," 1,068 ", 684 , 913 ," 1,005 ",," 1,981 "
Polo intercomunale,, 128 , 121 , 49 , 26 ,, 177 
Comune cintura,," 2,557 "," 2,523 ", 213 , 144 ,," 2,770 "
Comune intermedio,," 1,334 "," 1,307 ", 118 , 90 ,," 1,452 "
Comune periferico,, 800 , 786 , 88 , 53 ,, 888 
Comune ultra-periferico,, 179 , 179 , 12 , 5 ,, 191 
,,,,,,,
Italia,," 6,066 "," 5,600 "," 1,393 "," 1,323 ",," 7,459 "
,,,,,,,
,,,,,,,
"Fonte: Istat, ""Indagine sulle biblioteche pubbliche e private"", anno 2021",,,,,,,
,,,,,,,
