"Tavola 4.12 - Numero  prestiti locali effettuati per titolarità della biblioteca, regione, ripartizione geografica, ampiezza demografica, classificazione  e grado di urbanizzazione dei comuni - Anno 2022 (valori totali e medi)",,,,,,,,,,,
,,,,,,,,,,,
"REGIONI
RIPARTIZIONI GEOGRAFICHE
AMPIEZZA DEMOGRAFICA DEI COMUNI
CLASSIFICAZIONE DEI COMUNI
GRADO DI URBANIZZAZIONE",Numero di prestiti fisici locali effettuati  (b),,,,,,,,,,
,Titolarità,,,Totale,,Titolarità,,,Totale,,
,Pubblica,di cui: Ente locale,Privata,,,Pubblica,di cui: Ente locale,Privata,,,
,,,,,,,,,,,
,VALORI TOTALI,,,,,VALORI MEDI (c),,,,,
,,,,,,,,,,,
Piemonte," 2,225,294 "," 2,221,792 "," 146,815 "," 2,372,109 ",," 3,543 "," 3,619 "," 2,447 "," 3,448 ",,
Valle d'Aosta - Vallée d'Aoste," 224,878 "," 99,736 ", 28 ," 224,906 ",," 4,325 "," 2,168 ", 14 ," 4,165 ",,
Lombardia," 10,629,324 "," 10,602,702 "," 38,257 "," 10,667,581 ",," 8,517 "," 8,578 ", 531 ," 8,082 ",,
Trentino-Alto Adige," 1,095,109 "," 1,091,094 "," 12,910 "," 1,108,019 ",," 8,360 "," 8,943 "," 1,291 "," 7,858 ",,
Bolzano/Bozen, (d) , (d) , (d) , (d) ,, (d) , (d) , (d) , (d) ,,
Trento," 1,095,109 "," 1,091,094 "," 12,910 "," 1,108,019 ",," 8,360 "," 8,943 "," 1,291 "," 7,858 ",,
Veneto," 3,736,636 "," 3,731,569 "," 30,288 "," 3,766,924 ",," 6,794 "," 6,936 ", 561 ," 6,237 ",,
Friuli-Venezia Giulia," 958,475 "," 946,210 "," 47,172 "," 1,005,647 ",," 4,437 "," 4,527 "," 1,348 "," 4,007 ",,
Liguria," 349,077 "," 341,701 "," 8,373 "," 357,450 ",," 2,645 "," 2,824 ", 220 ," 2,103 ",,
Emilia-Romagna," 4,267,634 "," 4,258,879 "," 62,265 "," 4,329,899 ",," 10,137 "," 10,621 ", 649 ," 8,375 ",,
Toscana," 1,800,714 "," 1,741,727 "," 12,716 "," 1,813,430 ",," 6,454 "," 6,804 ", 184 ," 5,211 ",,
Umbria," 162,408 "," 162,039 "," 2,642 "," 165,050 ",," 2,354 "," 2,532 ", 176 ," 1,965 ",,
Marche," 304,423 "," 301,009 "," 4,059 "," 308,482 ",," 2,272 "," 2,298 ", 140 ," 1,893 ",,
Lazio," 649,817 "," 603,458 "," 5,526,171 "," 6,175,988 ",," 2,568 "," 2,915 "," 64,258 "," 18,218 ",,
Abruzzo," 57,287 "," 36,726 "," 5,131 "," 62,418 ",, 744 , 633 , 270 , 650 ,,
Molise," 12,411 "," 11,461 ", 223 ," 12,634 ",, 388 , 395 , 56 , 351 ,,
Campania," 28,353 "," 23,386 "," 6,542 "," 34,895 ",, 149 , 133 , 65 , 120 ,,
Puglia," 120,421 "," 99,731 "," 8,030 "," 128,451 ",, 885 , 824 , 161 , 691 ,,
Basilicata," 18,984 "," 10,924 ", 344 ," 19,328 ",, 365 , 237 , 69 , 339 ,,
Calabria," 23,328 "," 22,370 "," 4,315 "," 27,643 ",, 224 , 226 , 139 , 205 ,,
Sicilia," 145,064 "," 139,367 "," 10,975 "," 156,039 ",, 549 , 571 , 215 , 495 ,,
Sardegna," 694,538 "," 636,634 "," 12,625 "," 707,163 ",," 1,852 "," 1,778 ", 281 ," 1,684 ",,
," 27,504,175 "," 27,082,515 "," 5,939,881 "," 33,444,056 ",," 5,148 "," 5,335 "," 6,812 "," 5,381 ",,
Nord-ovest," 13,428,573 "," 13,265,931 "," 193,473 "," 13,622,046 ",," 6,519 "," 6,577 "," 1,125 "," 6,103 ",,
Nord-est," 10,057,854 "," 10,027,752 "," 152,635 "," 10,210,489 ",," 7,631 "," 7,896 ", 783 ," 6,749 ",,
Centro," 2,917,362 "," 2,808,233 "," 5,545,588 "," 8,462,950 ",," 3,969 "," 4,268 "," 27,867 "," 9,061 ",,
Sud," 260,784 "," 204,598 "," 24,585 "," 285,369 ",, 441 , 387 , 117 , 356 ,,
Isole," 839,602 "," 776,001 "," 23,600 "," 863,202 ",," 1,314 "," 1,289 ", 246 ," 1,174 ",,
," 27,504,175 "," 27,082,515 "," 5,939,881 "," 33,444,056 ",," 5,148 "," 5,335 "," 6,812 "," 5,381 ",,
Fino a 2.000 abitanti," 932,705 "," 931,609 "," 5,135 "," 937,840 ",, 693 , 697 , 135 , 678 ,,
Da 2.001 a 5.000 abitanti," 3,107,742 "," 3,064,118 "," 22,832 "," 3,130,574 ",," 2,312 "," 2,295 ", 394 ," 2,233 ",,
Da 5.001 a 10.000 abitanti," 5,502,673 "," 5,491,628 "," 18,650 "," 5,521,323 ",," 5,930 "," 5,989 ", 405 ," 5,669 ",,
Da 10.001 a 30.000 abitanti," 8,327,003 "," 8,321,956 "," 39,904 "," 8,366,907 ",," 10,242 "," 10,389 ", 366 ," 9,075 ",,
Da 30.001 a 50.000 abitanti," 2,671,138 "," 2,545,241 "," 44,308 "," 2,715,446 ",," 14,596 "," 15,615 ", 607 ," 10,607 ",,
Più di 50.000 abitanti," 4,247,157 "," 4,172,942 "," 221,695 "," 4,468,852 ",," 9,653 "," 12,061 ", 737 ," 6,031 ",,
Città metropolitane," 2,715,757 "," 2,555,021 "," 5,587,357 "," 8,303,114 ",," 9,365 "," 14,435 "," 22,621 "," 15,462 ",,
," 27,504,175 "," 27,082,515 "," 5,939,881 "," 33,444,056 ",," 5,148 "," 5,335 "," 6,812 "," 5,381 ",,
Comune Polo," 8,214,500 "," 7,889,754 "," 5,826,351 "," 14,040,851 ",," 10,385 "," 13,674 "," 10,404 "," 10,393 ",,
Polo intercomunale," 765,196 "," 764,503 "," 12,235 "," 777,431 ",," 11,253 "," 11,583 ", 510 ," 8,450 ",,
Comune cintura," 14,541,908 "," 14,508,193 "," 38,500 "," 14,580,408 ",," 5,608 "," 5,643 ", 306 ," 5,362 ",,
Comune intermedio," 2,588,501 "," 2,553,258 "," 55,521 "," 2,644,022 ",," 2,636 "," 2,638 ", 555 ," 2,444 ",,
Comune periferico," 1,158,032 "," 1,130,919 "," 5,060 "," 1,163,092 ",," 1,571 "," 1,564 ", 95 ," 1,472 ",,
Comune ultra-periferico," 236,038 "," 235,888 "," 2,214 "," 238,252 ",," 1,372 "," 1,379 ", 246 ," 1,316 ",,
," 27,504,175 "," 27,082,515 "," 5,939,881 "," 33,444,056 ",," 5,148 "," 5,335 "," 6,812 "," 5,381 ",,
Città o zone densamente popolate," 9,617,853 "," 9,391,137 "," 5,703,272 "," 15,321,125 ",," 12,655 "," 16,447 "," 11,407 "," 12,160 ",,
Piccole città e sobborghi a densità intermedia di popolazione," 14,464,942 "," 14,300,508 "," 190,305 "," 14,655,247 ",," 6,608 "," 6,711 ", 695 ," 5,950 ",,
Zone rurali o scarsamente popolate," 3,421,380 "," 3,390,870 "," 46,304 "," 3,467,684 ",," 1,429 "," 1,428 ", 472 ," 1,392 ",,
," 27,504,175 "," 27,082,515 "," 5,939,881 "," 33,444,056 ",," 5,148 "," 5,335 "," 6,812 "," 5,381 ",,
Italia,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Fonte: Istat, ""Indagine sulle biblioteche pubbliche e private"", anno 2023",,,,,,,,,,,
"(a)  Si intendono il numero di “utenti attivi”, cioè quelli iscritti o frequentatori della biblioteca che hanno effettuato almeno una transazione formalizzata (per esempio, un prestito librario; una consultazione con rilascio di ricevuta; etc.).",,,,,,,,,,,
(b)  Si intendono i prestiti diretti esclusi i rinnovi e i prestiti interbibliotecari.,,,,,,,,,,,
(c)  La media è calcolata sul totale delle biblioteche che hanno risposto al quesito,,,,,,,,,,,
 (d) Dato non disponibile ,,,,,,,,,,,
