Library_Region,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,19
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,8
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,6
Total,61
