OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101253,Museo Annibale Di Francia,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Messina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104868,"Madonna della Pietà, Chiesa",Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Serravalle_di_Chienti,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106579,Museo della Fondazione Whitaker,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Marsala,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107179,Seminario diocesano,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Chiavari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110891,San Michele Arcangelo - Catacombe,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/L_Aquila,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103141,Camposanto monumentale,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pisa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20204,Necropoli rupestre di San Giuliano,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Barbarano_Romano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111300,Castello  Orsini - Cesi - Borghese,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Polo_dei_Cavalieri,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110389,Parco archeologico di Dometaia,Parco Archeologico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Colle_di_Val_d_Elsa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103345,Area archeologica di Antas (tempio punico romano),Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Fluminimaggiore,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20469,Chiesa di Santa Maria di Cartignano,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bussi_sul_Tirino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101321,Tesoro della Cattedrale di Palermo,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Palermo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110173,Area archeologica Castelluccio,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rignano_sull_Arno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104606,Cantina della sfida,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Barletta,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107189,Palazzo comitale,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cogorno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106548,Palazzo Besta,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Teglio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103401,Area archeologica delle terme romane,Parco Archeologico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Fordongianus,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106318,Monastero di Torba,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Gornate-Olona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103111,Orto botanico Pania di Corfino,Parco o Giardino di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Villa_Collemandina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/145284,Parco Archeologico medievale di Mileto antica,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mileto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104809,Cantiere tipo di lavoro,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Novate_Mezzola,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104780,Chiesa di San Lorenzo,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Gottolengo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104102,Musei sistini del Piceno - Museo di arte sacra di Castignano,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castignano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101522,Cimitero storico dei Cappuccini,Monumento Funerario,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20533,Parco Poesia Pascoli - Museo Casa Pascoli,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Mauro_Pascoli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106584,Ducea di Nelson,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bronte,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20508,Castello di Serralunga d'Alba,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Serralunga_d_Alba,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/7152,Ecomuseo della Montagna Pistoiese − Insediamento Medievale dell’Acquerino,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pistoia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/123674,Cimitero monumentale americano,Monumento Funerario,http://dati.beniculturali.it/mibact/luoghi/resource/City/Nettuno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20373,Ipogeo dei Volumni e Necropoli del Palazzone,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Perugia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103156,Torre campanaria pendente,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pisa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105350,Frantoio ipogeo di Via Borgo,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Giurdignano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103957,Mausoleo delle Fosse Ardeatine,Monumento Funerario,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102892,Fonte della fata morgana - Ninfeo di Villa Vecchietti,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bagno_a_Ripoli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20021,Faro Porto Vecchio,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Crotone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103782,Museo di arte contemporanea Giuseppe e Titina Dal Verme,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Zavattarello,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20125,"Area archeologica ""S. Pietro degli Schiavoni""",Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Brindisi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104531,Casale del Giardino,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107894,Teatro comunale Malatesta,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Montefiore_Conca,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102226,Domus dei tappeti di pietra,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ravenna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107946,Teatro sociale di Finale Emilia,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Finale_Emilia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100460,Uffizio di porto,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Loano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102644,Statua colossale di San Carlo,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Arona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110694,Scavi archeologici di Pava,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Giovanni_d_Asso,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106417,Museo armi antiche Fosco Baboni,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellucchio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107973,Teatro Amintore Galli (Ex Vittorio Emanuele II),Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rimini,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107172,Cartiera Sbaraggia,Monumento di Archeologia Industriale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mele,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106582,Museo della civiltà contadina e Grotte Museo di Sperlinga,Altro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sperlinga,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia
