Library_Region,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,Free Entry,12
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,Free Entry,3
TOTAL,,37
