Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Abano_Terme,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Abbadia_Lariana,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aci_Castello,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Acquapendente,4.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Acqui_Terme,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Adria,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Agrigento,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Agrigento,4.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Agrigento,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Agropoli,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aidone,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ala,20.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albenga,6.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albese_con_Cassano,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albiano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alcamo,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ales,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alessandria,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alessandria,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alessandria,5.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alghero,5.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alife,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Allumiere,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Altamura,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Altare,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Amalfi,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Amalfi,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Amandola,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anagni,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Angera,8.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anghiari,4.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anticoli_Corrado,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aquileia,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arborea,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arcevia,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arcinazzo_Romano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ardesio,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arenzano,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arese,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arezzo,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arezzo,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arezzo,6.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Argenta,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Argenta,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ariccia,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aritzo,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aritzo,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Armungia,6.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arpino,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arpino,2.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Piceno,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Piceno,3.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Piceno,4.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Piceno,8.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Asola,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Asola,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Assisi,3.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Assisi,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atri,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atri,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atri,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atzara,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Auditore,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aulla,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bacoli,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Badia_Abtei,8.00,1
