"Numbers per city of Museums, Archives, Libraries with a free entry cost",,,
City,Museums_Number,Archives_Number,Libraries_Number
Acerra,3,0,0
Aci_Castello,1,0,0
Acqualagna,1,0,0
Acqui_Terme,2,0,0
Adro,1,0,0
Agrigento,0,1,0
Aiello_del_Friuli,1,0,0
Airola,1,0,0
Alassio,3,0,0
Alatri,1,0,0
Albenga,1,0,0
Albese_con_Cassano,1,0,0
Albino,3,0,0
Albisola_Superiore,1,0,0
Albissola_Marina,2,0,0
Aldino_Aldein,1,0,0
Alessandria,0,1,0
Alessandria_del_Carretto,1,0,0
Alfonsine,2,0,0
Almenno_San_Bartolomeo,1,0,0
Alpignano,1,0,0
Alseno,1,0,0
Altamura,1,0,0
Altavilla_Irpina,1,0,0
Alto,1,0,0
Amatrice,1,0,0
Amendolara,1,0,0
Ampezzo,2,0,0
Anagni,3,0,0
Ancona,2,3,0
Andezeno,1,0,0
Andreis,2,0,0
Andretta,1,0,0
Angera,1,0,0
Anguillara_Sabazia,1,0,0
Antrodoco,2,0,0
Anzio,2,0,0
Aosta,1,0,0
Apecchio,1,0,0
Apricale,1,0,0
Apricena,1,0,0
Aquila_d_Arroscia,1,0,0
Aquileia,1,0,0
Aquilonia,1,0,0
Aquino,1,0,0
Arbus,1,0,0
Arcinazzo_Romano,1,0,0
Ardea,1,0,0
Arezzo,0,1,0
Argenta,1,0,0
Ariano_Irpino,3,0,0
Arnad,1,0,0
Arosio,1,0,0
Arpino,1,0,0
Arre,1,0,0
Arsago_Seprio,1,0,0
Arsoli,1,0,0
Artena,1,0,0
Artogne,1,0,0
Arzano,1,0,0
Ascoli_Piceno,0,1,0
Asola,1,0,0
Assisi,0,1,0
Asti,1,1,0
Atina,1,0,0
Atripalda,1,0,0
Attimis,1,0,0
Ausonia,1,0,0
Avella,1,0,0
Avellino,4,1,0
Aversa,1,0,0
Avezzano,1,1,0
Bagnacavallo,1,0,0
Bagnara_di_Romagna,3,0,0
Bagno_di_Romagna,1,0,0
Bagnolo_in_Piano,1,0,0
Bagnoregio,1,0,0
Bagolino,1,0,0
Bardi,2,0,0
Bari,4,1,0
Baronissi,1,0,0
Barzio,1,0,0
Bassano_del_Grappa,0,1,0
Bedonia,1,0,0
Bellaria-Igea_Marina,1,0,0
Belluno,0,1,0
Belvedere_Ostrense,1,0,0
Bene_Vagienna,1,0,0
Benevento,4,1,0
Bentivoglio,1,0,0
Berceto,2,0,0
Bergamo,1,1,0
Bertinoro,1,0,0
Bettola,1,0,0
Biassono,1,0,0
Biella,0,1,0
Binasco,1,0,0
Bisaccia,1,0,0
Bisegna,1,0,0
Bisignano,1,0,0
Bistagno,1,0,0
Bitonto,1,0,0
Blera,1,0,0
Bobbio,1,0,0
Bologna,42,2,0
Bolognetta,1,0,0
Bolognola,1,0,0
Bolzano_Bozen,2,1,0
Bondeno,2,0,0
Bonito,1,0,0
Bordighera,1,0,0
Boretto,1,0,0
Borghi,1,0,0
Borgo_Pace,2,0,0
Borgo_San_Dalmazzo,1,0,0
Borgo_Tossignano,2,0,0
Borgoricco,1,0,0
Borgosesia,1,0,0
Bortigiadas,1,0,0
Bosco_Marengo,1,0,0
Botticino,1,0,0
Bova_Marina,1,0,0
Bovino,1,0,0
Bracciano,1,0,0
Breno,2,0,0
Brescello,2,0,0
Brescia,4,1,0
Brindisi,3,1,0
Brisighella,4,0,0
Brosso,1,0,0
Budrio,5,0,0
Buja,1,0,0
Buonabitacolo,1,0,0
Busana,1,0,0
Busseto,1,0,0
Busto_Arsizio,2,0,0
Buttrio,1,0,0
Cagliari,6,1,1
Calangianus,1,0,0
Calanna,1,0,0
Calcata,1,0,0
Caldarola,1,0,0
Calice_Ligure,1,0,0
Calitri,1,0,0
Caltagirone,2,1,0
Calvisano,1,0,0
Camerata_Cornello,1,0,0
Camerino,2,1,0
Caminata,1,0,0
Camogli,3,0,0
Campagna,1,0,0
Campagnano_di_Roma,1,0,0
Campagnola_Emilia,1,0,0
Campi_Bisenzio,1,0,0
Campobasso,1,1,0
Campomorone,4,0,0
Canepina,1,0,0
Caneva,2,0,0
Canosa_Sannita,1,0,0
Canosa_di_Puglia,1,0,0
Cantiano,1,0,0
Capo_di_Ponte,2,0,0
Capovalle,1,0,0
Capua,2,0,0
Carassai,1,0,0
Caravaggio,1,0,0
Carcare,2,0,0
Carinola,1,0,0
Carmagnola,1,0,0
Carmignano,1,0,0
Carpasio,1,0,0
Carpenedolo,1,0,0
Carro,1,0,0
Casacalenda,2,0,0
Casalmaggiore,1,0,0
Casalvieri,1,0,0
Casarza_Ligure,1,0,0
Casazza,1,0,0
Casola_Valsenio,1,0,0
Cassacco,1,0,0
Cassino,0,0,1
Castagneto_Carducci,1,0,0
Castel_Bolognese,1,0,0
Castel_Morrone,1,0,0
Castel_San_Giovanni,1,0,0
Castel_San_Lorenzo,1,0,0
Castel_del_Monte,1,0,0
Castel_del_Rio,2,0,0
Casteldelci,1,0,0
Castelfidardo,1,0,0
Castellabate,1,0,0
Castellammare_di_Stabia,1,0,0
Castellanza,1,0,0
Castelleone,1,0,0
Castello_di_Serravalle,1,0,0
Castellucchio,1,0,0
Castelnovo_di_Sotto,2,0,0
Castelnuovo_Scrivia,1,0,0
Castelvenere,1,0,0
Castiglion_Fiorentino,2,0,0
Castiglione_Chiavarese,1,0,0
Castro_dei_Volsci,1,0,0
Castrocaro_Terme_e_Terra_del_Sole,1,0,0
Castrocielo,1,0,0
Castrovillari,0,1,0
Catania,2,1,0
Catanzaro,1,1,0
Cattolica,1,0,0
Cava_de__Tirreni,2,0,1
Cavargna,1,0,0
Cavasso_Nuovo,1,0,0
Cazzago_San_Martino,1,0,0
Cento,3,0,0
Centola,1,0,0
Ceprano,1,0,0
Cerano_d_Intelvi,1,0,0
Cerreto_Guidi,1,0,0
Cerreto_Sannita,2,0,0
Cerreto_d_Esi,1,0,0
Cerreto_di_Spoleto,1,0,0
Certosa_di_Pavia,1,0,0
Cervara_di_Roma,1,0,0
Cervaro,1,0,0
Cervia,2,0,0
Cesena,8,1,0
Cesenatico,1,0,0
Cessapalombo,1,0,0
Chiari,1,0,0
Chiavari,6,0,0
Chieri,1,0,0
Chieti,1,1,0
Cimolais,1,0,0
Cingoli,1,0,0
Cinisello_Balsamo,1,0,0
Citta_Sant_Angelo,1,0,0
Cittiglio,1,0,0
Cividate_Camuno,1,0,0
Civita_Castellana,2,0,0
Civitanova_Marche,2,0,0
Claut,1,0,0
Clusone,1,0,0
Codogno,2,0,0
Codroipo,4,0,0
Cogne,1,0,0
Cogorno,1,0,0
Colbordolo,1,0,0
Collegno,1,0,0
Comacchio,4,0,0
Como,2,1,0
Concesio,1,0,0
Conegliano,1,0,0
Conzano,1,0,0
Copparo,1,0,0
Corato,1,0,0
Corbetta,1,0,0
Coriano,2,0,0
Corleto_Monforte,1,0,0
Cormons,2,0,0
Correggio,2,0,0
Cortona,1,0,0
Cosenza,1,1,0
Cosio_d_Arroscia,1,0,0
Cotignola,1,0,0
Crema,1,0,0
Cremona,2,1,1
Crevalcore,2,0,0
Crocefieschi,1,0,0
Crotone,1,0,0
Cuneo,0,1,0
Cusano_Mutri,1,0,0
Dalmine,1,0,0
Darfo_Boario_Terme,1,0,0
Demonte,1,0,0
Desio,1,0,0
Diano_Marina,1,0,0
Dolceacqua,1,0,0
Dongo,1,0,0
Dovadola,1,0,0
Dozza,1,0,0
Drenchia,1,0,0
Dresano,1,0,0
Enna,1,0,0
Erba,1,0,0
Ercolano,1,0,0
Erice,1,0,0
Erto_e_Casso,1,0,0
Etroubles,1,0,0
Fabbrica_Curone,1,0,0
Fabriano,1,0,0
Faenza,6,0,0
Falconara_Marittima,1,0,0
Fano,1,1,0
Fara_in_Sabina,2,0,1
Farnese,1,0,0
Fasano,1,0,0
Favale_di_Malvaro,1,0,0
Felitto,2,0,0
Fermo,0,1,0
Ferrara,11,1,0
Fiastra,1,0,0
Fidenza,2,0,0
Fiesole,1,0,0
Fiorano_Modenese,1,0,0
Firenze,9,1,4
Fiumicino,1,0,0
Foggia,0,1,0
Fogliano_Redipuglia,1,0,0
Foligno,0,1,0
Fontanarosa,1,0,0
Fontanelice,1,0,0
Forgaria_nel_Friuli,1,0,0
Forli,10,1,0
Formello,1,0,0
Forni_Avoltri,1,0,0
Forte_dei_Marmi,1,0,0
Fossano,1,0,0
Fragneto_Monforte,1,0,0
Frascati,2,0,0
Frattamaggiore,1,0,0
Frisanco,1,0,0
Frontino,1,0,0
Frosinone,0,1,0
Fumone,2,0,0
Furore,1,0,0
Fusignano,1,0,0
Gaeta,2,0,0
Galeata,1,0,0
Gallarate,2,0,0
Gallese,1,0,0
Gattatico,1,0,0
Gatteo,1,0,0
Gemmano,1,0,0
Gemona_del_Friuli,4,0,0
Genazzano,1,0,0
Genova,21,1,1
Gerace,1,0,0
Gerano,2,0,0
Gioia_Tauro,1,0,0
Giulianova,4,0,0
Gorizia,1,1,1
Gottolengo,1,0,0
Gradisca_d_Isonzo,2,0,0
Grado,2,0,0
Gradoli,2,0,0
Graglia,1,0,0
Gragnano,1,0,0
Grandate,1,0,0
Grandola_ed_Uniti,1,0,0
Gravina_in_Puglia,1,0,0
Greci,1,0,0
Grimacco,1,0,0
Grosseto,1,1,0
Grottaferrata,0,0,1
Grottaminarda,1,0,0
Grotte_di_Castro,2,0,0
Gualtieri,1,0,0
Guardiagrele,1,0,0
Guastalla,2,0,0
Gubbio,0,1,0
Guidonia_Montecelio,1,0,0
Iglesias,2,0,0
Imola,7,1,0
Imperia,4,1,0
Ischia_di_Castro,3,0,0
Isernia,0,1,0
Isola_del_Gran_Sasso_d_Italia,1,0,0
Itri,1,0,0
Ivrea,1,0,0
Jesi,1,0,0
L_Aquila,0,1,0
La_Spezia,1,2,0
Lacedonia,1,0,0
Lamezia_Terme,1,0,0
Lana_Lana,1,0,0
Lanciano,1,1,0
Langhirano,1,0,0
Lanusei,1,0,0
Lanzo_Torinese,1,0,0
Lanzo_d_Intelvi,1,0,0
Larciano,1,0,0
Larino,2,0,0
Latera,1,0,0
Latiano,1,0,0
Latina,7,1,0
Lauro,1,0,0
Lavagna,1,0,0
Lecce,1,0,0
Lecco,1,0,0
Legnano,1,0,0
Lentate_sul_Seveso,1,0,0
Lentini,1,0,0
Leonessa,2,0,0
Lerma,1,0,0
Letino,1,0,0
Levanto,1,0,0
Licata,1,0,0
Licenza,1,0,0
Lissone,1,0,0
Lizzano_in_Belvedere,1,0,0
Locri,1,1,0
Lodi,5,0,0
Lombriasco,1,0,0
Lomello,1,0,0
Longiano,3,0,0
Loreto,1,0,0
Loro_Piceno,1,0,0
Lovere,1,0,0
Lu_e_Cuccaro_Monferrato,1,0,0
Lucca,1,1,1
Lucinasco,1,0,0
Lugo,1,0,0
Luino,2,0,0
Luras,1,0,0
Lusevera,1,0,0
Luzzana,1,0,0
Luzzara,1,0,0
Maccagno,1,0,0
Macerata,2,0,1
Maddaloni,1,0,0
Maenza,1,0,0
Magasa,1,0,0
Magione,2,0,0
Magliano_Sabina,1,0,0
Maiori,1,0,0
Mairano,1,0,0
Malborghetto_Valbruna,1,0,0
Malnate,1,0,0
Malo,1,0,0
Mandello_del_Lario,1,0,0
