Archive_Region,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry,10
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,Free Entry,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry,8
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,Free Entry,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,Free Entry,6
TOTAL,,106
