Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Abetone_Cutigliano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Acerra,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aci_Castello,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Acqualagna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Acqui_Terme,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Adro,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Agnone,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aiello_del_Friuli,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Airola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alassio,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alatri,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albenga,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albese_con_Cassano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albino,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albisola_Superiore,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Albissola_Marina,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aldino_Aldein,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alessandria_del_Carretto,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alfonsine,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Almenno_San_Bartolomeo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alpignano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alseno,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Altamura,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Altavilla_Irpina,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Alto,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Amatrice,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Amendolara,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ampezzo,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anagni,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Andezeno,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Andreis,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Andretta,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Angera,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anguillara_Sabazia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Antrodoco,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Anzio,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aosta,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Apecchio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Apricale,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Apricena,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aquila_d_Arroscia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aquileia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aquilonia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Aquino,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arbus,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arcinazzo_Romano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ardea,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Argenta,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ariano_Irpino,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arnad,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arosio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arpino,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arre,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arsago_Seprio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arsoli,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Artena,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Artogne,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Arzano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Asola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Asti,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atina,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Atripalda,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Attimis,Free Entry,1
