Museum_Region,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,Free Entry,27
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,Free Entry,26
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,Free Entry,165
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,Free Entry,349
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,Free Entry,109
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,Free Entry,195
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,Free Entry,107
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,Free Entry,159
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,Free Entry,69
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Molise,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,Free Entry,54
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,Free Entry,32
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,Free Entry,20
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,Free Entry,41
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,Free Entry,49
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,Free Entry,8
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,Free Entry,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,Free Entry,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,Free Entry,10
