Museum_Region,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,1.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,1.70,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,2.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,3.00,11
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,3.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,3.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,5.00,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,6.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,7.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,10.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,2.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,3.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,4.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Basilicata,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,1.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,3.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,4.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,5.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,8.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,10.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,15.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,18.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,2.50,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,22.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,3.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,4.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,5.00,14
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,6.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,7.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,8.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,10.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,15.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,17.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,18.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,2.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,2.50,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,3.00,16
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,3.50,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,4.00,11
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,5.00,30
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,5.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,6.00,13
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,7.00,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,8.00,8
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,9.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,10.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,13.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,3.00,11
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,3.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,3.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,4.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,5.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,6.00,9
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,7.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,1.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,10.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,10.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,11.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,11.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,12.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,13.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,14.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,15.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,16.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,17.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,2.00,10
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,2.50,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,3.00,20
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,3.80,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,4.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,5.00,18
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,6.00,13
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,6.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,7.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,8.00,6
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,9.50,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,1.60,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,10.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,11.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,12.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,17.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,2.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,3.00,10
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,4.00,7
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,4.20,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,5.00,18
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,5.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,6.00,10
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,7.00,5
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,8.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,9.00,4
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,1.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,1.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,10.00,19
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,11.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,12.00,10
